#      date    value 
 1984-01-01    0.875 
 1984-01-02   2.9375 
 1984-01-03        6 
 1984-01-04      0.5 
 1984-01-05   0.1875 
 1984-01-06     1.75 
 1984-01-07        2 
 1984-01-08        2 
 1984-01-09     1.75 
 1984-01-10        0 
 1984-01-11   1.1875 
 1984-01-12   1.1875 
 1984-01-13   2.5625 
 1984-01-14   5.6875 
 1984-01-15   2.3125 
 1984-01-16   0.4375 
 1984-01-17   4.9375 
 1984-01-18      1.5 
 1984-01-19   0.0625 
 1984-01-20        0 
 1984-01-21    0.125 
 1984-01-22        0 
 1984-01-23   1.4375 
 1984-01-24     0.25 
 1984-01-25   0.0625 
 1984-01-26    0.125 
 1984-01-27        0 
 1984-01-28   0.6875 
 1984-01-29     0.75 
 1984-01-30    1.875 
 1984-01-31     0.75 
 1984-02-01    0.875 
 1984-02-02   0.8125 
 1984-02-03    0.875 
 1984-02-04        4 
 1984-02-05    2.625 
 1984-02-06    2.875 
 1984-02-07   5.8125 
 1984-02-08        2 
 1984-02-09   1.0625 
 1984-02-10        0 
 1984-02-11        0 
 1984-02-12        0 
 1984-02-13        0 
 1984-02-14   0.0625 
 1984-02-15        0 
 1984-02-16        0 
 1984-02-17        0 
 1984-02-18        0 
 1984-02-19        0 
 1984-02-20        0 
 1984-02-21        0 
 1984-02-22        0 
 1984-02-23   0.6875 
 1984-02-24   2.5625 
 1984-02-25    2.625 
 1984-02-26     1.25 
 1984-02-27        0 
 1984-02-28    0.125 
 1984-02-29        0 
 1984-03-01   0.0625 
 1984-03-02    0.125 
 1984-03-03   0.8125 
 1984-03-04        0 
 1984-03-05   0.1875 
 1984-03-06        0 
 1984-03-07    0.875 
 1984-03-08   1.0625 
 1984-03-09   0.8125 
 1984-03-10   0.1875 
 1984-03-11   0.0625 
 1984-03-12   0.1875 
 1984-03-13        0 
 1984-03-14        0 
 1984-03-15        0 
 1984-03-16   0.0625 
 1984-03-17   0.1875 
 1984-03-18        0 
 1984-03-19        0 
 1984-03-20        0 
 1984-03-21        0 
 1984-03-22        0 
 1984-03-23        0 
 1984-03-24        0 
 1984-03-25   0.0625 
 1984-03-26   1.0625 
 1984-03-27   0.3125 
 1984-03-28     1.75 
 1984-03-29     0.25 
 1984-03-30     9.25 
 1984-03-31    0.125 
 1984-04-01   0.6875 
 1984-04-02    5.375 
 1984-04-03    3.375 
 1984-04-04   3.0625 
 1984-04-05     1.25 
 1984-04-06    0.125 
 1984-04-07    0.875 
 1984-04-08    9.125 
 1984-04-09   0.3125 
 1984-04-10    1.375 
 1984-04-11   0.1875 
 1984-04-12   4.0625 
 1984-04-13        0 
 1984-04-14        0 
 1984-04-15        0 
 1984-04-16        3 
 1984-04-17        3 
 1984-04-18   0.1875 
 1984-04-19        0 
 1984-04-20   0.0625 
 1984-04-21        0 
 1984-04-22    0.375 
 1984-04-23     0.25 
 1984-04-24    0.625 
 1984-04-25        0 
 1984-04-26        0 
 1984-04-27   0.9375 
 1984-04-28    1.875 
 1984-04-29     1.75 
 1984-04-30   4.6875 
 1984-05-01    5.875 
 1984-05-02        0 
 1984-05-03        0 
 1984-05-04      1.5 
 1984-05-05   3.4375 
 1984-05-06        3 
 1984-05-07   1.4375 
 1984-05-08   3.5625 
 1984-05-09   1.4375 
 1984-05-10     2.25 
 1984-05-11    1.625 
 1984-05-12    1.625 
 1984-05-13   0.1875 
 1984-05-14   2.6875 
 1984-05-15    2.875 
 1984-05-16        0 
 1984-05-17   0.3125 
 1984-05-18   0.9375 
 1984-05-19    0.125 
 1984-05-20   0.1875 
 1984-05-21      4.5 
 1984-05-22        1 
 1984-05-23   2.5625 
 1984-05-24     10.5 
 1984-05-25   6.9375 
 1984-05-26   0.6875 
 1984-05-27      1.5 
 1984-05-28   6.1875 
 1984-05-29   14.125 
 1984-05-30        0 
 1984-05-31    0.625 
 1984-06-01   1.0625 
 1984-06-02        0 
 1984-06-03        0 
 1984-06-04    0.125 
 1984-06-05  11.3125 
 1984-06-06    11.75 
 1984-06-07     6.75 
 1984-06-08       11 
