#      date    value 
 1991-01-01   1.0625 
 1991-01-02        0 
 1991-01-03    2.875 
 1991-01-04    1.875 
 1991-01-05   3.0625 
 1991-01-06     0.75 
 1991-01-07   2.1875 
 1991-01-08   0.9375 
 1991-01-09    2.625 
 1991-01-10    2.375 
 1991-01-11   5.0625 
 1991-01-12     1.75 
 1991-01-13   3.8125 
 1991-01-14     0.25 
 1991-01-15   0.1875 
 1991-01-16     0.25 
 1991-01-17        0 
 1991-01-18        0 
 1991-01-19        0 
 1991-01-20   0.0625 
 1991-01-21    1.125 
 1991-01-22      0.5 
 1991-01-23    0.375 
 1991-01-24   1.0625 
 1991-01-25   7.4375 
 1991-01-26   1.0625 
 1991-01-27        0 
 1991-01-28     3.75 
 1991-01-29    0.875 
 1991-01-30        0 
 1991-01-31        0 
 1991-02-01     1.75 
 1991-02-02        0 
 1991-02-03     0.25 
 1991-02-04   0.0625 
 1991-02-05        0 
 1991-02-06   0.1875 
 1991-02-07      0.5 
 1991-02-08   0.5625 
 1991-02-09     0.25 
 1991-02-10   0.4375 
 1991-02-11   0.3125 
 1991-02-12   3.3125 
 1991-02-13   1.3125 
 1991-02-14   1.4375 
 1991-02-15   0.5625 
 1991-02-16   0.0625 
 1991-02-17   7.0625 
 1991-02-18   2.0625 
 1991-02-19     0.25 
 1991-02-20    0.375 
 1991-02-21   1.6875 
 1991-02-22        0 
 1991-02-23        0 
 1991-02-24   3.0625 
 1991-02-25    3.875 
 1991-02-26     7.25 
 1991-02-27     5.25 
 1991-02-28    0.125 
 1991-03-01        0 
 1991-03-02        0 
 1991-03-03        0 
 1991-03-04        0 
 1991-03-05   1.0625 
 1991-03-06        0 
 1991-03-07        0 
 1991-03-08        0 
 1991-03-09        0 
 1991-03-10        0 
 1991-03-11        0 
 1991-03-12   0.0625 
 1991-03-13     0.75 
 1991-03-14   1.6875 
 1991-03-15    5.125 
 1991-03-16   1.8125 
 1991-03-17        0 
 1991-03-18        0 
 1991-03-19     0.25 
 1991-03-20   0.0625 
 1991-03-21    1.375 
 1991-03-22   2.6875 
 1991-03-23    6.875 
 1991-03-24   0.9375 
 1991-03-25   1.0625 
 1991-03-26   2.8125 
 1991-03-27    0.375 
 1991-03-28        0 
 1991-03-29        0 
 1991-03-30        0 
 1991-03-31    2.375 
 1991-04-01   0.0625 
 1991-04-02   1.0625 
 1991-04-03   0.0625 
 1991-04-04        0 
 1991-04-05        0 
 1991-04-06        0 
 1991-04-07    0.125 
 1991-04-08     0.25 
 1991-04-09   0.1875 
 1991-04-10    0.125 
 1991-04-11        0 
 1991-04-12        0 
 1991-04-13        0 
 1991-04-14        0 
 1991-04-15   0.6875 
 1991-04-16   4.4375 
 1991-04-17      1.5 
 1991-04-18   0.1875 
 1991-04-19    8.875 
 1991-04-20   4.0625 
 1991-04-21    1.125 
 1991-04-22   0.4375 
 1991-04-23    0.125 
 1991-04-24   0.1875 
 1991-04-25    0.125 
 1991-04-26        0 
 1991-04-27   0.0625 
 1991-04-28    0.125 
 1991-04-29     1.75 
 1991-04-30   0.6875 
 1991-05-01   2.6875 
 1991-05-02     0.25 
 1991-05-03  10.3125 
 1991-05-04   0.3125 
 1991-05-05   2.9375 
 1991-05-06    8.625 
 1991-05-07        1 
 1991-05-08    0.125 
 1991-05-09   0.0625 
 1991-05-10        0 
 1991-05-11        0 
 1991-05-12        0 
 1991-05-13   5.0625 
 1991-05-14    0.375 
 1991-05-15    0.125 
 1991-05-16       12 
 1991-05-17    0.625 
 1991-05-18     10.5 
 1991-05-19   3.8125 
 1991-05-20  11.9375 
 1991-05-21    7.625 
 1991-05-22      0.5 
 1991-05-23    4.375 
 1991-05-24    1.875 
 1991-05-25    0.625 
 1991-05-26   5.5625 
 1991-05-27   3.1875 
 1991-05-28   1.1875 
 1991-05-29    5.875 
 1991-05-30  13.6875 
 1991-05-31   1.3125 
 1991-06-01        0 
 1991-06-02   0.5625 
 1991-06-03   0.1875 
 1991-06-04   1.6875 
 1991-06-05    2.625 
 1991-06-06   12.125 
 1991-06-07   0.0625 
 1991-06-08        0 
 1991-06-09   9.0625 
 1991-06-10  11.6875 
 1991-06-11    4.625 
 1991-06-12     1.75 
 1991-06-13   1.1875 
 1991-06-14   0.6875 
 1991-06-15      8.5 
