#      date    value 
 1995-01-01    4.875 
 1995-01-02    2.625 
 1995-01-03   8.8125 
 1995-01-04     5.25 
 1995-01-05   2.0625 
 1995-01-06    6.375 
 1995-01-07    1.625 
 1995-01-08      1.5 
 1995-01-09        1 
 1995-01-10   3.9375 
 1995-01-11   1.8125 
 1995-01-12      0.5 
 1995-01-13    0.625 
 1995-01-14     0.25 
 1995-01-15      0.5 
 1995-01-16   1.5625 
 1995-01-17   0.6875 
 1995-01-18     0.75 
 1995-01-19        1 
 1995-01-20        0 
 1995-01-21   2.4375 
 1995-01-22    2.375 
 1995-01-23        0 
 1995-01-24   0.9375 
 1995-01-25    0.125 
 1995-01-26        0 
 1995-01-27        0 
 1995-01-28        0 
 1995-01-29        0 
 1995-01-30    0.125 
 1995-01-31   0.3125 
 1995-02-01        0 
 1995-02-02        0 
 1995-02-03   1.3125 
 1995-02-04   2.3125 
 1995-02-05   3.6875 
 1995-02-06        3 
 1995-02-07   3.4375 
 1995-02-08      1.5 
 1995-02-09        0 
 1995-02-10        0 
 1995-02-11        0 
 1995-02-12        0 
 1995-02-13   0.0625 
 1995-02-14        0 
 1995-02-15   0.4375 
 1995-02-16        0 
 1995-02-17        0 
 1995-02-18        0 
 1995-02-19   1.5625 
 1995-02-20      1.5 
 1995-02-21   1.5625 
 1995-02-22    1.625 
 1995-02-23    2.875 
 1995-02-24    1.625 
 1995-02-25   0.0625 
 1995-02-26      1.5 
 1995-02-27   0.8125 
 1995-02-28      6.5 
 1995-03-01    1.125 
 1995-03-02        0 
 1995-03-03   0.6875 
 1995-03-04   0.4375 
 1995-03-05   0.0625 
 1995-03-06        0 
 1995-03-07    8.875 
 1995-03-08   0.8125 
 1995-03-09        0 
 1995-03-10        0 
 1995-03-11        0 
 1995-03-12    0.125 
 1995-03-13        0 
 1995-03-14    0.625 
 1995-03-15      3.5 
 1995-03-16     1.25 
 1995-03-17        0 
 1995-03-18        0 
 1995-03-19   0.6875 
 1995-03-20   0.0625 
 1995-03-21        0 
 1995-03-22        0 
 1995-03-23   4.3125 
 1995-03-24    0.875 
 1995-03-25   0.3125 
 1995-03-26        0 
 1995-03-27        0 
 1995-03-28        0 
 1995-03-29        0 
 1995-03-30        0 
 1995-03-31        0 
 1995-04-01        0 
 1995-04-02   1.6875 
 1995-04-03   0.3125 
 1995-04-04        0 
 1995-04-05   0.0625 
 1995-04-06        0 
 1995-04-07        0 
 1995-04-08        0 
 1995-04-09        0 
 1995-04-10        0 
 1995-04-11        0 
 1995-04-12        0 
 1995-04-13   2.9375 
 1995-04-14        0 
 1995-04-15        0 
 1995-04-16     5.25 
 1995-04-17   2.9375 
 1995-04-18    0.625 
 1995-04-19        0 
 1995-04-20        0 
 1995-04-21        0 
 1995-04-22   0.0625 
 1995-04-23     2.25 
 1995-04-24   1.0625 
 1995-04-25        0 
 1995-04-26   1.3125 
 1995-04-27     3.25 
 1995-04-28   0.6875 
 1995-04-29      0.5 
 1995-04-30   0.0625 
 1995-05-01        0 
 1995-05-02   0.0625 
 1995-05-03    0.125 
 1995-05-04   7.0625 
 1995-05-05     8.25 
 1995-05-06    0.625 
 1995-05-07        0 
 1995-05-08      4.5 
 1995-05-09   4.4375 
 1995-05-10   3.0625 
 1995-05-11   7.3125 
 1995-05-12        0 
 1995-05-13        0 
 1995-05-14        0 
 1995-05-15    0.375 
 1995-05-16        0 
