#      date    value 
 1986-01-01     1.25 
 1986-01-02    1.375 
 1986-01-03        0 
 1986-01-04   3.1875 
 1986-01-05    0.875 
 1986-01-06        0 
 1986-01-07    0.875 
 1986-01-08    2.875 
 1986-01-09    3.875 
 1986-01-10    16.75 
 1986-01-11  12.0625 
 1986-01-12   7.8125 
 1986-01-13    16.75 
 1986-01-14   18.375 
 1986-01-15   0.6875 
 1986-01-16   0.0625 
 1986-01-17     4.25 
 1986-01-18   2.3125 
 1986-01-19    3.375 
 1986-01-20   24.375 
 1986-01-21   1.1875 
 1986-01-22   9.9375 
 1986-01-23   9.0625 
 1986-01-24   1.1875 
 1986-01-25        0 
 1986-01-26   1.5625 
 1986-01-27   1.8125 
 1986-01-28   0.9375 
 1986-01-29        3 
 1986-01-30     3.75 
 1986-01-31    0.875 
 1986-02-01     0.25 
 1986-02-02      0.5 
 1986-02-03   1.8125 
 1986-02-04   1.4375 
 1986-02-05      3.5 
 1986-02-06   7.0625 
 1986-02-07    0.625 
 1986-02-08   0.1875 
 1986-02-09        0 
 1986-02-10        0 
 1986-02-11        0 
 1986-02-12        0 
 1986-02-13        0 
 1986-02-14     4.25 
 1986-02-15     3.75 
 1986-02-16    1.125 
 1986-02-17      0.5 
 1986-02-18        0 
 1986-02-19    0.375 
 1986-02-20    0.625 
 1986-02-21    0.125 
 1986-02-22        0 
 1986-02-23        0 
 1986-02-24        0 
 1986-02-25   0.3125 
 1986-02-26    0.125 
 1986-02-27        0 
 1986-02-28        0 
 1986-03-01        0 
 1986-03-02        0 
 1986-03-03    0.125 
 1986-03-04   6.0625 
 1986-03-05  16.9375 
 1986-03-06    2.375 
 1986-03-07        0 
 1986-03-08    1.625 
 1986-03-09      1.5 
 1986-03-10     1.75 
 1986-03-11    1.875 
 1986-03-12   0.4375 
 1986-03-13   0.1875 
 1986-03-14        1 
 1986-03-15    1.875 
 1986-03-16   8.6875 
 1986-03-17     0.25 
 1986-03-18   2.8125 
 1986-03-19        0 
 1986-03-20   24.625 
 1986-03-21   2.6875 
 1986-03-22  14.5625 
 1986-03-23    7.125 
 1986-03-24    0.875 
 1986-03-25    0.125 
 1986-03-26   2.0625 
 1986-03-27    6.125 
 1986-03-28   1.6875 
 1986-03-29        0 
 1986-03-30        0 
 1986-03-31    0.125 
 1986-04-01        0 
 1986-04-02      0.5 
 1986-04-03   0.1875 
 1986-04-04        0 
 1986-04-05   0.3125 
 1986-04-06   0.4375 
 1986-04-07   0.3125 
 1986-04-08        0 
 1986-04-09   0.0625 
 1986-04-10        0 
 1986-04-11   1.0625 
 1986-04-12     0.75 
 1986-04-13   1.1875 
 1986-04-14    4.875 
 1986-04-15   1.0625 
 1986-04-16   1.3125 
 1986-04-17        0 
 1986-04-18        0 
 1986-04-19    4.375 
 1986-04-20   8.6875 
 1986-04-21   0.0625 
 1986-04-22    0.875 
 1986-04-23    0.375 
 1986-04-24    0.125 
 1986-04-25   1.6875 
 1986-04-26     2.75 
 1986-04-27   1.0625 
 1986-04-28      1.5 
 1986-04-29     1.25 
 1986-04-30   2.8125 
 1986-05-01        0 
 1986-05-02    0.125 
 1986-05-03   0.6875 
 1986-05-04   1.5625 
 1986-05-05    7.375 
 1986-05-06   7.0625 
 1986-05-07     13.5 
 1986-05-08    1.125 
 1986-05-09      5.5 
 1986-05-10  15.4375 
 1986-05-11        1 
 1986-05-12  10.0625 
 1986-05-13   6.8125 
 1986-05-14      2.5 
 1986-05-15   1.5625 
 1986-05-16   0.0625 
 1986-05-17   5.1875 
 1986-05-18     4.25 
 1986-05-19   0.0625 
 1986-05-20   3.5625 
 1986-05-21    8.625 
 1986-05-22    5.375 
 1986-05-23    2.875 
 1986-05-24    2.375 
 1986-05-25   8.4375 
 1986-05-26  10.4375 
 1986-05-27    15.75 
 1986-05-28   1.1875 
 1986-05-29    0.125 
 1986-05-30    4.375 
 1986-05-31     0.25 
 1986-06-01      1.5 
 1986-06-02   0.4375 
 1986-06-03   0.8125 
 1986-06-04   0.4375 
 1986-06-05        0 
 1986-06-06        0 
 1986-06-07        0 
 1986-06-08    0.375 
 1986-06-09   4.3125 
 1986-06-10   11.125 
 1986-06-11    0.125 
 1986-06-12   2.6875 
 1986-06-13   0.3125 
 1986-06-14        0 
 1986-06-15        0 
 1986-06-16   1.5625 
 1986-06-17   18.375 
 1986-06-18   0.6875 
 1986-06-19     0.25 
 1986-06-20        0 
 1986-06-21        0 
 1986-06-22        0 
 1986-06-23        0 
 1986-06-24      0.5 
 1986-06-25   0.3125 
 1986-06-26   0.0625 
 1986-06-27        0 
 1986-06-28   0.0625 
 1986-06-29        0 
 1986-06-30        0 
 1986-07-01        0 
 1986-07-02        0 
 1986-07-03      2.5 
 1986-07-04   0.8125 
 1986-07-05    0.375 
 1986-07-06        0 
 1986-07-07        0 
 1986-07-08   0.3125 
 1986-07-09   0.3125 
 1986-07-10   0.5625 
 1986-07-11        0 
 1986-07-12        0 
 1986-07-13        0 
 1986-07-14   0.1875 
 1986-07-15      0.5 
 1986-07-16    2.375 
 1986-07-17   0.0625 
 1986-07-18        0 
 1986-07-19   0.1875 
 1986-07-20    0.125 
 1986-07-21    0.375 
 1986-07-22   1.9375 
 1986-07-23   1.1875 
 1986-07-24   0.9375 
 1986-07-25    0.125 
 1986-07-26   0.9375 
 1986-07-27   4.9375 
 1986-07-28   15.625 
 1986-07-29     5.75 
 1986-07-30     9.75 
 1986-07-31   4.5625 
 1986-08-01        3 
 1986-08-02  11.4375 
 1986-08-03      0.5 
 1986-08-04     3.75 
 1986-08-05     2.75 
 1986-08-06        8 
 1986-08-07    6.375 
 1986-08-08    0.125 
 1986-08-09        0 
 1986-08-10        0 
 1986-08-11        0 
 1986-08-12        0 
 1986-08-13      6.5 
 1986-08-14   9.5625 
 1986-08-15    9.875 
 1986-08-16  14.4375 
 1986-08-17        0 
 1986-08-18        0 
 1986-08-19   14.125 
 1986-08-20        0 
 1986-08-21        0 
 1986-08-22        0 
 1986-08-23        0 
 1986-08-24        0 
 1986-08-25        0 
 1986-08-26    0.125 
 1986-08-27   0.3125 
 1986-08-28   0.5625 
 1986-08-29        0 
 1986-08-30        0 
 1986-08-31   3.0625 
 1986-09-01        0 
 1986-09-02     3.75 
 1986-09-03    0.875 
 1986-09-04    0.125 
 1986-09-05        0 
 1986-09-06    0.125 
 1986-09-07      0.5 
 1986-09-08        0 
 1986-09-09     0.25 
 1986-09-10        0 
 1986-09-11     0.25 
 1986-09-12        0 
 1986-09-13    1.125 
 1986-09-14        0 
 1986-09-15        0 
 1986-09-16   0.0625 
 1986-09-17        0 
 1986-09-18        0 
 1986-09-19        0 
 1986-09-20      1.5 
 1986-09-21        0 
 1986-09-22   0.3125 
 1986-09-23        0 
 1986-09-24   0.0625 
 1986-09-25   0.1875 
 1986-09-26   2.4375 
 1986-09-27    1.375 
 1986-09-28   1.9375 
 1986-09-29   0.1875 
 1986-09-30        0 
 1986-10-01    0.125 
 1986-10-02        0 
 1986-10-03    0.125 
 1986-10-04   0.0625 
 1986-10-05   0.4375 
 1986-10-06   0.5625 
 1986-10-07        0 
 1986-10-08    0.125 
 1986-10-09     0.75 
 1986-10-10   0.0625 
 1986-10-11        0 
 1986-10-12        0 
 1986-10-13   0.0625 
 1986-10-14   0.5625 
 1986-10-15        0 
 1986-10-16        0 
 1986-10-17   0.0625 
 1986-10-18   5.1875 
 1986-10-19   1.4375 
 1986-10-20      6.5 
 1986-10-21   12.625 
 1986-10-22    5.125 
