#      date    value 
 2019-01-01        0 
 2019-01-02        0 
 2019-01-03        0 
 2019-01-04        0 
 2019-01-05    0.125 
 2019-01-06        0 
 2019-01-07        0 
 2019-01-08        0 
 2019-01-09        0 
 2019-01-10   0.1875 
 2019-01-11        0 
 2019-01-12   0.4375 
 2019-01-13        0 
 2019-01-14    0.125 
 2019-01-15        0 
 2019-01-16      2.5 
 2019-01-17    0.125 
 2019-01-18        0 
 2019-01-19    3.875 
 2019-01-20        0 
 2019-01-21   0.6875 
 2019-01-22   9.1875 
 2019-01-23        0 
 2019-01-24    0.375 
 2019-01-25    0.125 
 2019-01-26      2.5 
 2019-01-27      2.5 
 2019-01-28        0 
 2019-01-29   6.3125 
 2019-01-30   0.1875 
 2019-01-31     0.75 
 2019-02-01   3.5625 
 2019-02-02  47.4375 
 2019-02-03  45.5625 
 2019-02-04    6.375 
 2019-02-05   2.8125 
 2019-02-06      7.5 
 2019-02-07   0.5625 
 2019-02-08   19.125 
 2019-02-09     1.75 
 2019-02-10     4.25 
 2019-02-11    0.125 
 2019-02-12        0 
 2019-02-13        0 
 2019-02-14        0 
 2019-02-15        0 
 2019-02-16   0.1875 
 2019-02-17        0 
 2019-02-18     3.25 
 2019-02-19        0 
 2019-02-20        0 
 2019-02-21        0 
 2019-02-22    0.125 
 2019-02-23        0 
 2019-02-24        0 
 2019-02-25        0 
 2019-02-26        0 
 2019-02-27        0 
 2019-02-28   1.0625 
 2019-03-01    0.125 
 2019-03-02   1.1875 
 2019-03-03        8 
 2019-03-04    9.125 
 2019-03-05   1.9375 
 2019-03-06  10.4375 
 2019-03-07     0.25 
 2019-03-08   2.1875 
 2019-03-09   1.1875 
 2019-03-10    7.125 
 2019-03-11        0 
 2019-03-12     9.75 
 2019-03-13    0.125 
 2019-03-14     1.75 
 2019-03-15     1.75 
 2019-03-16    4.375 
 2019-03-17   0.3125 
 2019-03-18    0.375 
 2019-03-19    0.625 
 2019-03-20        0 
 2019-03-21        0 
 2019-03-22        0 
 2019-03-23        0 
 2019-03-24        0 
 2019-03-25        0 
 2019-03-26        0 
 2019-03-27        0 
 2019-03-28        0 
 2019-03-29        0 
 2019-03-30    0.125 
 2019-03-31        0 
 2019-04-01        0 
 2019-04-02   2.8125 
 2019-04-03    2.875 
 2019-04-04    6.375 
 2019-04-05   0.6875 
 2019-04-06   0.1875 
 2019-04-07        6 
 2019-04-08     2.75 
 2019-04-09   8.3125 
 2019-04-10   0.3125 
 2019-04-11        0 
 2019-04-12    0.125 
 2019-04-13   1.0625 
 2019-04-14        0 
 2019-04-15        0 
 2019-04-16   1.0625 
 2019-04-17        0 
 2019-04-18        0 
 2019-04-19        0 
 2019-04-20        0 
 2019-04-21        0 
 2019-04-22        0 
 2019-04-23        0 
 2019-04-24   1.5625 
 2019-04-25   2.6875 
 2019-04-26   2.5625 
 2019-04-27    2.125 
 2019-04-28   0.8125 
 2019-04-29        0 
 2019-04-30        0 
 2019-05-01     0.25 
 2019-05-02     1.75 
 2019-05-03   1.3125 
 2019-05-04   0.4375 
 2019-05-05   0.1875 
 2019-05-06        0 
 2019-05-07   0.1875 
 2019-05-08   11.125 
 2019-05-09  11.0625 
 2019-05-10   0.5625 
 2019-05-11   0.3125 
 2019-05-12        0 
 2019-05-13        0 
 2019-05-14        0 
 2019-05-15        0 
 2019-05-16        0 
 2019-05-17   0.4375 
 2019-05-18   0.4375 
 2019-05-19   0.3125 
 2019-05-20   0.0625 
 2019-05-21        0 
 2019-05-22        0 
 2019-05-23        0 
 2019-05-24   0.0625 
 2019-05-25   0.0625 
 2019-05-26   0.0625 
 2019-05-27   0.1875 
 2019-05-28    0.375 
 2019-05-29     2.25 
 2019-05-30   0.3125 
 2019-05-31        0 
 2019-06-01   0.0625 
 2019-06-02        0 
 2019-06-03   0.1875 
 2019-06-04    1.875 
 2019-06-05    0.125 
 2019-06-06    0.125 
 2019-06-07  14.6875 
 2019-06-08   3.5625 
 2019-06-09   0.3125 
 2019-06-10  18.9375 
 2019-06-11      3.5 
 2019-06-12        4 
 2019-06-13   9.1875 
 2019-06-14      2.5 
 2019-06-15    0.375 
 2019-06-16   1.4375 
 2019-06-17   0.1875 
 2019-06-18    8.625 
 2019-06-19    3.375 
 2019-06-20    0.125 
 2019-06-21        0 
 2019-06-22        0 
 2019-06-23      0.5 
 2019-06-24    1.875 
 2019-06-25     7.25 
 2019-06-26        0 
 2019-06-27        0 
 2019-06-28        0 
 2019-06-29        0 
 2019-06-30        0 
 2019-07-01        0 
 2019-07-02        0 
 2019-07-03        0 
 2019-07-04        0 
 2019-07-05        0 
 2019-07-06   0.3125 
 2019-07-07      1.5 
 2019-07-08   0.0625 
 2019-07-09        0 
 2019-07-10     0.25 
 2019-07-11   0.0625 
 2019-07-12   0.0625 
 2019-07-13        0 
 2019-07-14        0 
 2019-07-15        0 
 2019-07-16        0 
 2019-07-17      0.5 
 2019-07-18   0.4375 
 2019-07-19   7.6875 
 2019-07-20   6.8125 
 2019-07-21   0.3125 
 2019-07-22        0 
 2019-07-23    4.375 
 2019-07-24    3.625 
 2019-07-25        0 
 2019-07-26   2.9375 
 2019-07-27     6.75 
 2019-07-28   0.1875 
 2019-07-29        0 
 2019-07-30     7.25 
 2019-07-31    0.375 
 2019-08-01        0 
 2019-08-02        0 
 2019-08-03    0.375 
 2019-08-04   0.8125 
 2019-08-05   0.6875 
 2019-08-06     0.25 
 2019-08-07      0.5 
 2019-08-08   2.4375 
 2019-08-09   7.5625 
 2019-08-10     1.25 
 2019-08-11     0.25 
 2019-08-12   5.0625 
 2019-08-13    0.375 
 2019-08-14   6.5625 
 2019-08-15        0 
 2019-08-16      8.5 
 2019-08-17    1.125 
 2019-08-18   2.3125 
 2019-08-19    0.375 
 2019-08-20        0 
 2019-08-21        0 
 2019-08-22        0 
 2019-08-23        0 
 2019-08-24        0 
 2019-08-25        0 
 2019-08-26        0 
 2019-08-27   0.0625 
 2019-08-28    1.625 
 2019-08-29    0.125 
 2019-08-30    0.125 
 2019-08-31     0.25 
 2019-09-01        0 
 2019-09-02    0.125 
 2019-09-03        0 
