#      date    value 
 1996-01-01        0 
 1996-01-02   0.3125 
 1996-01-03   8.9375 
 1996-01-04        1 
 1996-01-05        0 
 1996-01-06        0 
 1996-01-07        0 
 1996-01-08   0.1875 
 1996-01-09        0 
 1996-01-10   2.3125 
 1996-01-11        0 
 1996-01-12    1.875 
 1996-01-13   16.125 
 1996-01-14        0 
 1996-01-15        0 
 1996-01-16     0.25 
 1996-01-17   2.1875 
 1996-01-18        0 
 1996-01-19       25 
 1996-01-20   6.8125 
 1996-01-21     0.75 
 1996-01-22    0.625 
 1996-01-23        2 
 1996-01-24  26.1875 
 1996-01-25   5.1875 
 1996-01-26   0.0625 
 1996-01-27   29.875 
 1996-01-28  15.0625 
 1996-01-29   0.3125 
 1996-01-30   5.8125 
 1996-01-31        0 
 1996-02-01        0 
 1996-02-02        0 
 1996-02-03   0.3125 
 1996-02-04        0 
 1996-02-05        0 
 1996-02-06        0 
 1996-02-07        0 
 1996-02-08   2.5625 
 1996-02-09   6.1875 
 1996-02-10        0 
 1996-02-11      6.5 
 1996-02-12   0.0625 
 1996-02-13        0 
 1996-02-14     1.25 
 1996-02-15   1.4375 
 1996-02-16        3 
 1996-02-17   4.8125 
 1996-02-18        0 
 1996-02-19        0 
 1996-02-20   4.0625 
 1996-02-21  43.8125 
 1996-02-22  20.1875 
 1996-02-23    0.125 
 1996-02-24  13.5625 
 1996-02-25   1.1875 
 1996-02-26   0.0625 
 1996-02-27        0 
 1996-02-28    3.125 
 1996-02-29   0.5625 
 1996-03-01        0 
 1996-03-02   5.1875 
 1996-03-03   1.0625 
 1996-03-04   0.0625 
 1996-03-05   8.1875 
 1996-03-06    0.625 
 1996-03-07   6.6875 
 1996-03-08  10.1875 
 1996-03-09   0.3125 
 1996-03-10        0 
 1996-03-11        0 
 1996-03-12        0 
 1996-03-13        0 
 1996-03-14        0 
 1996-03-15        0 
 1996-03-16     0.25 
 1996-03-17        0 
 1996-03-18        0 
 1996-03-19        0 
 1996-03-20   14.625 
 1996-03-21    1.625 
 1996-03-22        0 
 1996-03-23        0 
 1996-03-24        0 
 1996-03-25        0 
 1996-03-26    0.875 
 1996-03-27        0 
 1996-03-28        0 
 1996-03-29        0 
 1996-03-30        0 
 1996-03-31        0 
 1996-04-01        0 
 1996-04-02     8.75 
 1996-04-03        0 
 1996-04-04        0 
 1996-04-05        0 
 1996-04-06   0.1875 
 1996-04-07   3.0625 
 1996-04-08    5.125 
 1996-04-09    0.375 
 1996-04-10  13.0625 
