#      date    value 
 2017-01-01     0.25 
 2017-01-02    7.375 
 2017-01-03   18.375 
 2017-01-04    97.25 
 2017-01-05    25.25 
 2017-01-06    0.125 
 2017-01-07  21.0625 
 2017-01-08  60.4375 
 2017-01-09  66.0625 
 2017-01-10  121.125 
 2017-01-11   76.875 
 2017-01-12  23.6875 
 2017-01-13   0.1875 
 2017-01-14        0 
 2017-01-15        0 
 2017-01-16        0 
 2017-01-17        0 
 2017-01-18  10.4375 
 2017-01-19  27.8125 
 2017-01-20   22.375 
 2017-01-21   27.875 
 2017-01-22   33.125 
 2017-01-23  31.5625 
 2017-01-24   0.1875 
 2017-01-25        0 
 2017-01-26        0 
 2017-01-27        0 
 2017-01-28        0 
 2017-01-29        0 
 2017-01-30        0 
 2017-01-31        0 
 2017-02-01        0 
 2017-02-02      4.5 
 2017-02-03  37.4375 
 2017-02-04  38.6875 
 2017-02-05   0.8125 
 2017-02-06   35.375 
 2017-02-07  109.562 
 2017-02-08  75.0625 
 2017-02-09  85.8125 
 2017-02-10   59.875 
 2017-02-11    4.875 
 2017-02-12        0 
 2017-02-13        0 
 2017-02-14        0 
 2017-02-15        0 
 2017-02-16    8.875 
 2017-02-17    8.875 
 2017-02-18   9.8125 
 2017-02-19   8.5625 
 2017-02-20       68 
 2017-02-21   59.125 
 2017-02-22   5.1875 
 2017-02-23  21.0625 
 2017-02-24    1.125 
 2017-02-25    1.625 
 2017-02-26    0.125 
 2017-02-27   2.1875 
 2017-02-28        0 
 2017-03-01        0 
 2017-03-02        0 
 2017-03-03        0 
 2017-03-04    0.125 
 2017-03-05  15.3125 
 2017-03-06   2.4375 
 2017-03-07   0.4375 
 2017-03-08        0 
 2017-03-09        0 
 2017-03-10   0.0625 
 2017-03-11        0 
 2017-03-12        0 
 2017-03-13        0 
 2017-03-14        0 
 2017-03-15        0 
 2017-03-16   0.0625 
 2017-03-17        0 
 2017-03-18   0.0625 
 2017-03-19        0 
 2017-03-20    0.875 
 2017-03-21   37.875 
 2017-03-22    16.25 
 2017-03-23   0.8125 
 2017-03-24   4.9375 
 2017-03-25     3.25 
 2017-03-26   1.0625 
 2017-03-27   12.875 
 2017-03-28   1.1875 
 2017-03-29   2.6875 
 2017-03-30  10.9375 
 2017-03-31        0 
 2017-04-01        0 
 2017-04-02    0.125 
 2017-04-03        0 
 2017-04-04        0 
 2017-04-05        0 
 2017-04-06    6.375 
 2017-04-07  39.8125 
 2017-04-08   28.125 
 2017-04-09     1.75 
 2017-04-10        0 
 2017-04-11     0.25 
 2017-04-12    4.125 
 2017-04-13   52.875 
 2017-04-14   5.9375 
 2017-04-15   2.8125 
 2017-04-16    5.375 
 2017-04-17  22.4375 
 2017-04-18   32.625 
 2017-04-19    0.625 
 2017-04-20   3.6875 
 2017-04-21        0 
 2017-04-22        0 
 2017-04-23        0 
 2017-04-24   5.5625 
 2017-04-25   3.1875 
 2017-04-26   6.3125 
 2017-04-27        2 
 2017-04-28        0 
 2017-04-29        0 
 2017-04-30        0 
 2017-05-01        0 
 2017-05-02        0 
 2017-05-03        0 
 2017-05-04   0.0625 
 2017-05-05    0.875 
 2017-05-06    3.375 
 2017-05-07   3.3125 
 2017-05-08        0 
 2017-05-09        0 
 2017-05-10        0 
 2017-05-11        0 
 2017-05-12   0.1875 
 2017-05-13        0 
 2017-05-14   0.0625 
 2017-05-15   0.0625 
 2017-05-16   1.0625 
 2017-05-17  14.9375 
 2017-05-18        0 
 2017-05-19        0 
 2017-05-20        0 
