#      date    value 
 2006-01-01        0 
 2006-01-02    2.375 
 2006-01-03   0.4375 
 2006-01-04    0.125 
 2006-01-05        0 
 2006-01-06        0 
 2006-01-07        0 
 2006-01-08        0 
 2006-01-09        0 
 2006-01-10    0.625 
 2006-01-11   2.6875 
 2006-01-12        0 
 2006-01-13    5.125 
 2006-01-14   0.5625 
 2006-01-15        0 
 2006-01-16        0 
 2006-01-17        7 
 2006-01-18   1.5625 
 2006-01-19        0 
 2006-01-20   2.3125 
 2006-01-21  10.5625 
 2006-01-22        0 
 2006-01-23        0 
 2006-01-24        0 
 2006-01-25        0 
 2006-01-26        0 
 2006-01-27        0 
 2006-01-28    0.625 
 2006-01-29  17.0625 
 2006-01-30   0.1875 
 2006-01-31        0 
 2006-02-01        0 
 2006-02-02        0 
 2006-02-03        1 
 2006-02-04        0 
 2006-02-05        0 
 2006-02-06        0 
 2006-02-07        0 
 2006-02-08        0 
 2006-02-09        0 
 2006-02-10   0.3125 
 2006-02-11   0.9375 
 2006-02-12   0.1875 
 2006-02-13        0 
 2006-02-14        0 
 2006-02-15        0 
 2006-02-16     7.25 
 2006-02-17    3.125 
 2006-02-18        0 
 2006-02-19        0 
 2006-02-20        0 
 2006-02-21        0 
 2006-02-22        0 
 2006-02-23        0 
 2006-02-24        0 
 2006-02-25        0 
 2006-02-26        0 
 2006-02-27        0 
 2006-02-28        0 
 2006-03-01        0 
 2006-03-02        0 
 2006-03-03        0 
 2006-03-04        0 
 2006-03-05    1.875 
 2006-03-06   0.6875 
 2006-03-07        0 
 2006-03-08  11.0625 
 2006-03-09  25.3125 
 2006-03-10  16.4375 
 2006-03-11  11.6875 
 2006-03-12  23.1875 
 2006-03-13   5.8125 
 2006-03-14        0 
 2006-03-15        0 
 2006-03-16      0.5 
 2006-03-17        0 
 2006-03-18        0 
 2006-03-19        0 
 2006-03-20        0 
 2006-03-21    2.375 
 2006-03-22        0 
 2006-03-23        0 
 2006-03-24    0.625 
 2006-03-25        0 
 2006-03-26        0 
 2006-03-27    1.875 
 2006-03-28        4 
 2006-03-29   0.3125 
 2006-03-30        0 
 2006-03-31    2.875 
 2006-04-01        0 
 2006-04-02   5.5625 
 2006-04-03    8.375 
 2006-04-04        0 
 2006-04-05        0 
 2006-04-06   28.625 
 2006-04-07   5.0625 
 2006-04-08        0 
 2006-04-09        0 
 2006-04-10        0 
 2006-04-11        0 
 2006-04-12        0 
 2006-04-13        0 
 2006-04-14     3.25 
 2006-04-15   1.3125 
 2006-04-16  28.5625 
 2006-04-17   5.4375 
 2006-04-18        0 
 2006-04-19     8.75 
 2006-04-20    0.875 
 2006-04-21        0 
 2006-04-22        0 
 2006-04-23        0 
 2006-04-24        0 
 2006-04-25   3.6875 
 2006-04-26        0 
 2006-04-27        0 
 2006-04-28        0 
 2006-04-29   1.6875 
 2006-04-30     11.5 
 2006-05-01   1.6875 
 2006-05-02      7.5 
 2006-05-03    0.375 
 2006-05-04   0.8125 
 2006-05-05        0 
 2006-05-06        0 
 2006-05-07        0 
 2006-05-08        0 
 2006-05-09        0 
 2006-05-10    3.875 
 2006-05-11  13.9375 
 2006-05-12     4.25 
 2006-05-13   1.9375 
 2006-05-14   3.5625 
 2006-05-15   14.125 
 2006-05-16   4.0625 
 2006-05-17   1.3125 
 2006-05-18   5.6875 
 2006-05-19        0 
 2006-05-20        0 
 2006-05-21        0 
 2006-05-22        0 
 2006-05-23        0 
 2006-05-24   1.4375 
 2006-05-25   4.3125 
 2006-05-26        0 
 2006-05-27        0 
 2006-05-28        0 
 2006-05-29    0.125 
 2006-05-30   0.8125 
 2006-05-31  19.8125 
 2006-06-01    6.875 
 2006-06-02    3.875 
 2006-06-03        0 
 2006-06-04        0 
 2006-06-05        0 
 2006-06-06   0.0625 
 2006-06-07      0.5 
 2006-06-08        0 
 2006-06-09        0 
 2006-06-10   5.3125 
 2006-06-11     7.75 
 2006-06-12        0 
 2006-06-13        0 
 2006-06-14        0 
 2006-06-15        0 
 2006-06-16        0 
 2006-06-17        0 
 2006-06-18   10.625 
 2006-06-19     1.25 
 2006-06-20    0.125 
 2006-06-21        0 
 2006-06-22      0.5 
 2006-06-23   0.3125 
 2006-06-24        0 
 2006-06-25     1.25 
 2006-06-26   5.6875 
 2006-06-27   1.0625 
 2006-06-28        0 
 2006-06-29        0 
 2006-06-30   2.5625 
 2006-07-01        0 
 2006-07-02        0 
 2006-07-03    0.125 
 2006-07-04  19.1875 
 2006-07-05   3.8125 
 2006-07-06        0 
 2006-07-07        0 
 2006-07-08        0 
 2006-07-09     2.25 
 2006-07-10        0 
 2006-07-11    24.75 
 2006-07-12  40.4375 
 2006-07-13    2.125 
 2006-07-14     0.75 
 2006-07-15    0.125 
 2006-07-16    0.125 
 2006-07-17        0 
 2006-07-18   0.0625 
 2006-07-19   0.0625 
 2006-07-20   10.125 
 2006-07-21    2.125 
 2006-07-22   8.8125 
 2006-07-23        0 
 2006-07-24        0 
 2006-07-25        0 
 2006-07-26   8.6875 
 2006-07-27  30.8125 
 2006-07-28   1.6875 
 2006-07-29        0 
 2006-07-30   0.3125 
 2006-07-31        0 
 2006-08-01        0 
 2006-08-02        0 
 2006-08-03   0.5625 
 2006-08-04        0 
 2006-08-05        0 
 2006-08-06        0 
 2006-08-07   2.3125 
 2006-08-08    1.875 
 2006-08-09  19.8125 
 2006-08-10   7.6875 
 2006-08-11   1.9375 
 2006-08-12        0 
 2006-08-13        0 
 2006-08-14   3.9375 
 2006-08-15   0.1875 
 2006-08-16    0.125 
 2006-08-17        0 
 2006-08-18   12.375 
 2006-08-19  14.0625 
 2006-08-20    6.875 
 2006-08-21        0 
 2006-08-22        0 
 2006-08-23        0 
 2006-08-24        0 
 2006-08-25        0 
 2006-08-26    3.125 
 2006-08-27     0.75 
 2006-08-28   12.375 
 2006-08-29        0 
 2006-08-30   1.3125 
 2006-08-31   1.1875 
 2006-09-01   0.4375 
 2006-09-02        0 
 2006-09-03        0 
 2006-09-04   0.0625 
 2006-09-05    2.125 
 2006-09-06        0 
 2006-09-07     0.25 
 2006-09-08   0.0625 
 2006-09-09        0 
 2006-09-10        0 
 2006-09-11   2.4375 
 2006-09-12    3.625 
 2006-09-13   0.5625 
 2006-09-14        0 
 2006-09-15        0 
 2006-09-16        0 
 2006-09-17   3.6875 
 2006-09-18  12.5625 
 2006-09-19        0 
 2006-09-20        0 
 2006-09-21        0 
 2006-09-22    2.625 
 2006-09-23   3.4375 
 2006-09-24   0.3125 
 2006-09-25    0.125 
 2006-09-26   0.0625 
 2006-09-27        0 
 2006-09-28        0 
 2006-09-29        0 
 2006-09-30        0 
 2006-10-01        0 
 2006-10-02        0 
 2006-10-03  13.5625 
 2006-10-04     0.25 
 2006-10-05   0.0625 
 2006-10-06        0 
 2006-10-07        0 
 2006-10-08        0 
 2006-10-09        0 
 2006-10-10   0.1875 
 2006-10-11      6.5 
 2006-10-12   0.0625 
 2006-10-13        0 
 2006-10-14        0 
 2006-10-15        0 
 2006-10-16    22.25 
 2006-10-17  30.3125 
 2006-10-18    0.625 
 2006-10-19   0.1875 
 2006-10-20        0 
 2006-10-21        0 
 2006-10-22   2.9375 
 2006-10-23        0 
 2006-10-24        0 
 2006-10-25        0 
 2006-10-26    8.375 
 2006-10-27   8.9375 
 2006-10-28     0.25 
 2006-10-29        0 
 2006-10-30        0 
 2006-10-31    0.375 
 2006-11-01        0 
 2006-11-02        0 
 2006-11-03        0 
 2006-11-04    0.375 
 2006-11-05   0.6875 
 2006-11-06     0.75 
 2006-11-07    1.875 
 2006-11-08        0 
 2006-11-09   0.0625 
 2006-11-10   1.3125 
 2006-11-11      9.5 
 2006-11-12        0 
 2006-11-13        0 
 2006-11-14   3.8125 
 2006-11-15   9.4375 
 2006-11-16     20.5 
 2006-11-17        0 
 2006-11-18        0 
 2006-11-19      1.5 
 2006-11-20        0 
 2006-11-21        0 
 2006-11-22        0 
 2006-11-23        0 
 2006-11-24        0 
 2006-11-25        0 
 2006-11-26        0 
 2006-11-27        0 
 2006-11-28        0 
 2006-11-29        0 
 2006-11-30  23.5625 
 2006-12-01  24.9375 
 2006-12-02        0 
 2006-12-03        0 
 2006-12-04        0 
 2006-12-05        0 
 2006-12-06        0 
 2006-12-07        0 
 2006-12-08        0 
 2006-12-09        0 
 2006-12-10        0 
 2006-12-11   3.9375 
 2006-12-12    13.75 
 2006-12-13      0.5 
 2006-12-14        0 
 2006-12-15   0.0625 
 2006-12-16        0 
 2006-12-17    2.125 
 2006-12-18    5.875 
 2006-12-19   0.1875 
 2006-12-20   2.1875 
 2006-12-21   19.125 
 2006-12-22   13.625 
 2006-12-23        0 
 2006-12-24        0 
 2006-12-25   0.1875 
 2006-12-26   0.1875 
 2006-12-27        0 
 2006-12-28        0 
 2006-12-29        0 
 2006-12-30    0.125 
 2006-12-31  28.4375 
