#      date    value 
 1995-01-01        0 
 1995-01-02        0 
 1995-01-03        0 
 1995-01-04        0 
 1995-01-05   0.8125 
 1995-01-06   2.8125 
 1995-01-07    6.125 
 1995-01-08        5 
 1995-01-09     0.25 
 1995-01-10        0 
 1995-01-11   1.5625 
 1995-01-12        0 
 1995-01-13     5.75 
 1995-01-14   2.6875 
 1995-01-15    0.375 
 1995-01-16   2.0625 
 1995-01-17    0.375 
 1995-01-18        3 
 1995-01-19      2.5 
 1995-01-20   0.3125 
 1995-01-21        0 
 1995-01-22        0 
 1995-01-23        0 
 1995-01-24        0 
 1995-01-25        0 
 1995-01-26   0.0625 
 1995-01-27   1.1875 
 1995-01-28   0.6875 
 1995-01-29     0.25 
 1995-01-30        0 
 1995-01-31   5.1875 
 1995-02-01   2.4375 
 1995-02-02    5.125 
 1995-02-03    1.125 
 1995-02-04    0.625 
 1995-02-05   0.4375 
 1995-02-06   2.5625 
 1995-02-07   1.4375 
 1995-02-08        0 
 1995-02-09        2 
 1995-02-10  10.1875 
 1995-02-11   1.6875 
 1995-02-12        4 
 1995-02-13   5.1875 
 1995-02-14   4.5625 
 1995-02-15    2.375 
 1995-02-16    2.125 
 1995-02-17   1.1875 
 1995-02-18   4.4375 
 1995-02-19     0.75 
 1995-02-20      0.5 
 1995-02-21        0 
 1995-02-22        0 
 1995-02-23        0 
 1995-02-24        0 
 1995-02-25        0 
 1995-02-26        0 
 1995-02-27   3.0625 
 1995-02-28   3.1875 
 1995-03-01        0 
 1995-03-02    0.625 
 1995-03-03      1.5 
 1995-03-04   3.8125 
 1995-03-05   7.1875 
 1995-03-06        2 
 1995-03-07    0.625 
 1995-03-08   1.3125 
 1995-03-09    0.875 
 1995-03-10      0.5 
 1995-03-11        0 
 1995-03-12     5.25 
 1995-03-13      2.5 
 1995-03-14     0.75 
 1995-03-15    0.375 
 1995-03-16        0 
 1995-03-17      1.5 
 1995-03-18        0 
 1995-03-19    12.25 
 1995-03-20   1.5625 
 1995-03-21   0.9375 
 1995-03-22   4.9375 
 1995-03-23        0 
 1995-03-24   1.4375 
 1995-03-25   0.8125 
 1995-03-26     2.25 
 1995-03-27        0 
 1995-03-28        0 
 1995-03-29   0.0625 
 1995-03-30   2.5625 
 1995-03-31   1.4375 
 1995-04-01      0.5 
 1995-04-02     0.75 
 1995-04-03   0.9375 
 1995-04-04      0.5 
 1995-04-05   0.6875 
 1995-04-06        0 
 1995-04-07        0 
 1995-04-08        2 
 1995-04-09   2.8125 
 1995-04-10      1.5 
 1995-04-11        2 
 1995-04-12     2.25 
 1995-04-13        0 
 1995-04-14   1.5625 
 1995-04-15   3.8125 
 1995-04-16    7.625 
 1995-04-17     12.5 
 1995-04-18    2.375 
 1995-04-19   6.3125 
 1995-04-20      1.5 
 1995-04-21   7.1875 
 1995-04-22   3.3125 
 1995-04-23     5.25 
 1995-04-24   2.3125 
 1995-04-25        6 
 1995-04-26  11.8125 
 1995-04-27      1.5 
 1995-04-28   5.9375 
 1995-04-29        4 
 1995-04-30    8.375 
 1995-05-01   1.6875 
 1995-05-02    7.875 
 1995-05-03   11.375 
 1995-05-04     0.75 
 1995-05-05    1.375 
 1995-05-06    2.875 
 1995-05-07   2.1875 
 1995-05-08  31.0625 
 1995-05-09  17.1875 
 1995-05-10     7.75 
 1995-05-11   1.0625 
 1995-05-12      3.5 
 1995-05-13     0.25 
 1995-05-14        3 
 1995-05-15   0.0625 
 1995-05-16    0.125 
 1995-05-17  14.6875 
 1995-05-18   3.9375 
 1995-05-19    0.625 
 1995-05-20   1.6875 
 1995-05-21   1.0625 
 1995-05-22        3 
 1995-05-23   12.125 
 1995-05-24    5.375 
 1995-05-25      7.5 
 1995-05-26   2.9375 
 1995-05-27   6.1875 
 1995-05-28  14.9375 
 1995-05-29     6.75 
 1995-05-30     3.75 
 1995-05-31   1.9375 
 1995-06-01   2.1875 
 1995-06-02   2.0625 
 1995-06-03        2 
 1995-06-04   2.9375 
 1995-06-05   0.6875 
 1995-06-06     0.25 
 1995-06-07   4.9375 
 1995-06-08    5.625 
 1995-06-09  15.3125 
 1995-06-10   3.0625 
 1995-06-11    0.125 
 1995-06-12        0 
 1995-06-13   0.0625 
 1995-06-14   3.6875 
 1995-06-15   1.5625 
 1995-06-16     0.25 
 1995-06-17    3.125 
 1995-06-18   3.1875 
 1995-06-19    4.125 
 1995-06-20     0.25 
 1995-06-21        0 
 1995-06-22     0.25 
 1995-06-23   1.1875 
 1995-06-24   0.3125 
 1995-06-25     0.75 
 1995-06-26     0.75 
 1995-06-27    0.125 
 1995-06-28   6.6875 
 1995-06-29   0.4375 
 1995-06-30    0.125 
 1995-07-01      2.5 
 1995-07-02        5 
 1995-07-03   3.1875 
 1995-07-04   3.1875 
 1995-07-05     0.25 
 1995-07-06   0.8125 
 1995-07-07   0.3125 
 1995-07-08        0 
 1995-07-09     0.75 
 1995-07-10    0.875 
 1995-07-11        0 
 1995-07-12        0 
 1995-07-13   2.5625 
 1995-07-14      8.5 
 1995-07-15   1.6875 
 1995-07-16        0 
 1995-07-17        0 
 1995-07-18    0.125 
 1995-07-19   4.8125 
 1995-07-20    2.375 
 1995-07-21   1.6875 
 1995-07-22    1.125 
 1995-07-23        0 
 1995-07-24    0.625 
 1995-07-25   0.9375 
 1995-07-26        0 
 1995-07-27        0 
 1995-07-28        0 
 1995-07-29        0 
 1995-07-30    0.125 
 1995-07-31   0.4375 
 1995-08-01        0 
 1995-08-02        0 
 1995-08-03   0.0625 
 1995-08-04        0 
 1995-08-05        0 
 1995-08-06        0 
 1995-08-07        0 
 1995-08-08        0 
 1995-08-09        0 
