#      date    value 
 1993-01-01        0 
 1993-01-02        0 
 1993-01-03        0 
 1993-01-04  15.3125 
 1993-01-05   9.3125 
 1993-01-06        0 
 1993-01-07        3 
 1993-01-08   6.8125 
 1993-01-09   0.3125 
 1993-01-10      2.5 
 1993-01-11   6.3125 
 1993-01-12     1.25 
 1993-01-13        0 
 1993-01-14        0 
 1993-01-15      3.5 
 1993-01-16        0 
 1993-01-17        0 
 1993-01-18     5.25 
 1993-01-19  22.5625 
 1993-01-20    3.625 
 1993-01-21   11.625 
 1993-01-22        0 
 1993-01-23        0 
 1993-01-24  10.9375 
 1993-01-25        0 
 1993-01-26        0 
 1993-01-27        0 
 1993-01-28        0 
 1993-01-29        0 
 1993-01-30        0 
 1993-01-31        0 
 1993-02-01        0 
 1993-02-02        0 
 1993-02-03        0 
 1993-02-04        0 
 1993-02-05        0 
 1993-02-06        0 
 1993-02-07        0 
 1993-02-08        0 
 1993-02-09        0 
 1993-02-10   2.0625 
 1993-02-11    17.75 
 1993-02-12   3.1875 
 1993-02-13        0 
 1993-02-14        0 
 1993-02-15    4.875 
 1993-02-16  23.1875 
 1993-02-17        0 
 1993-02-18        0 
 1993-02-19    0.375 
 1993-02-20   1.1875 
 1993-02-21   10.125 
 1993-02-22        0 
 1993-02-23        0 
 1993-02-24        0 
 1993-02-25  15.4375 
 1993-02-26   0.8125 
 1993-02-27        0 
 1993-02-28        0 
 1993-03-01    0.125 
 1993-03-02  20.1875 
 1993-03-03    0.875 
 1993-03-04        0 
 1993-03-05        0 
 1993-03-06        0 
 1993-03-07    0.125 
 1993-03-08        0 
 1993-03-09        0 
 1993-03-10        0 
 1993-03-11        0 
 1993-03-12   0.4375 
 1993-03-13   0.3125 
 1993-03-14        0 
 1993-03-15        0 
 1993-03-16  13.6875 
 1993-03-17   2.1875 
 1993-03-18        0 
 1993-03-19        0 
 1993-03-20      4.5 
 1993-03-21        0 
 1993-03-22   6.5625 
 1993-03-23    0.125 
 1993-03-24        0 
 1993-03-25    0.875 
 1993-03-26    0.125 
 1993-03-27        0 
 1993-03-28        0 
 1993-03-29        0 
 1993-03-30   1.9375 
 1993-03-31       26 
 1993-04-01        0 
 1993-04-02        0 
 1993-04-03        0 
 1993-04-04    2.375 
 1993-04-05   2.4375 
 1993-04-06        0 
 1993-04-07   0.9375 
 1993-04-08  22.9375 
 1993-04-09  33.8125 
 1993-04-10        0 
 1993-04-11        0 
 1993-04-12        0 
 1993-04-13        0 
 1993-04-14      3.5 
 1993-04-15  22.0625 
 1993-04-16    0.125 
 1993-04-17        0 
 1993-04-18   1.0625 
 1993-04-19        0 
 1993-04-20     8.25 
 1993-04-21      0.5 
 1993-04-22        0 
 1993-04-23        0 
 1993-04-24    0.625 
 1993-04-25  12.6875 
 1993-04-26     5.25 
 1993-04-27        0 
 1993-04-28        0 
 1993-04-29   1.9375 
 1993-04-30  19.1875 
 1993-05-01      6.5 
 1993-05-02   7.9375 
 1993-05-03   8.9375 
 1993-05-04        0 
 1993-05-05        0 
 1993-05-06        0 
 1993-05-07        0 
 1993-05-08        0 
 1993-05-09        0 
 1993-05-10   11.125 
 1993-05-11  21.6875 
 1993-05-12   0.5625 
 1993-05-13   12.125 
 1993-05-14        0 
 1993-05-15   0.4375 
 1993-05-16     0.75 
 1993-05-17     2.75 
 1993-05-18    0.125 
 1993-05-19     6.25 
 1993-05-20        0 
 1993-05-21        0 
 1993-05-22        0 
 1993-05-23        0 
 1993-05-24   9.5625 
 1993-05-25  18.5625 
 1993-05-26        0 
 1993-05-27        0 
 1993-05-28     0.25 
 1993-05-29        0 
 1993-05-30        0 
 1993-05-31     0.25 
 1993-06-01        0 
 1993-06-02        0 
 1993-06-03        0 
 1993-06-04   0.0625 
 1993-06-05        0 
 1993-06-06        0 
 1993-06-07        0 
 1993-06-08        0 
 1993-06-09        0 
 1993-06-10    4.125 
 1993-06-11   3.9375 
 1993-06-12   3.1875 
 1993-06-13    2.875 
 1993-06-14   0.1875 
 1993-06-15   0.0625 
 1993-06-16        0 
 1993-06-17        0 
 1993-06-18        0 
 1993-06-19   0.5625 
 1993-06-20  21.0625 
 1993-06-21     11.5 
 1993-06-22   2.3125 
 1993-06-23   1.8125 
 1993-06-24  14.3125 
 1993-06-25   5.8125 
 1993-06-26      1.5 
 1993-06-27   0.3125 
 1993-06-28  13.3125 
 1993-06-29     6.25 
 1993-06-30     1.25 
 1993-07-01        0 
 1993-07-02        0 
 1993-07-03        0 
 1993-07-04        0 
 1993-07-05        0 
 1993-07-06        0 
 1993-07-07        0 
 1993-07-08        0 
 1993-07-09    0.125 
 1993-07-10        0 
 1993-07-11     0.25 
 1993-07-12      0.5 
 1993-07-13      0.5 
 1993-07-14      0.5 
 1993-07-15   10.625 
 1993-07-16   0.0625 
 1993-07-17        0 
 1993-07-18        0 
 1993-07-19   0.0625 
 1993-07-20        0 
 1993-07-21     0.25 
 1993-07-22   0.1875 
 1993-07-23        0 
 1993-07-24        0 
 1993-07-25        0 
 1993-07-26        0 
 1993-07-27        0 
 1993-07-28   1.1875 
 1993-07-29   0.0625 
 1993-07-30        0 
 1993-07-31        0 
 1993-08-01   8.0625 
 1993-08-02     14.5 
 1993-08-03    12.75 
 1993-08-04  35.1875 
 1993-08-05      7.5 
 1993-08-06    46.75 
 1993-08-07   2.8125 
 1993-08-08        0 
 1993-08-09        0 
 1993-08-10        0 
 1993-08-11        0 
 1993-08-12        0 
 1993-08-13   1.0625 
 1993-08-14        0 
 1993-08-15        0 
 1993-08-16        0 
 1993-08-17        0 
 1993-08-18        0 
 1993-08-19        0 
 1993-08-20    0.125 
 1993-08-21  15.0625 
 1993-08-22   3.8125 
 1993-08-23   0.0625 
 1993-08-24        0 
 1993-08-25        0 
 1993-08-26  15.6875 
 1993-08-27    8.125 
 1993-08-28    0.125 
 1993-08-29   0.0625 
 1993-08-30   3.8125 
 1993-08-31        0 
 1993-09-01     0.25 
 1993-09-02   1.0625 
 1993-09-03   0.5625 
 1993-09-04        0 
 1993-09-05        0 
 1993-09-06        0 
 1993-09-07        0 
 1993-09-08     0.25 
 1993-09-09    4.125 
 1993-09-10        0 
 1993-09-11        0 
 1993-09-12        0 
