#      date    value 
 1979-01-02   9.1875 
 1979-01-03  28.5625 
 1979-01-04        0 
 1979-01-05        0 
 1979-01-06        0 
 1979-01-07   1.0625 
 1979-01-08   22.125 
 1979-01-09     0.25 
 1979-01-10        0 
 1979-01-11        0 
 1979-01-12        0 
 1979-01-13   2.0625 
 1979-01-14   24.375 
 1979-01-15   0.4375 
 1979-01-16        0 
 1979-01-17    0.375 
 1979-01-18    8.875 
 1979-01-19        0 
 1979-01-20        0 
 1979-01-21  24.9375 
 1979-01-22   20.125 
 1979-01-23        0 
 1979-01-24        0 
 1979-01-25   3.3125 
 1979-01-26  17.1875 
 1979-01-27  12.0625 
 1979-01-28   3.9375 
 1979-01-29   9.9375 
 1979-01-30  10.4375 
 1979-01-31    1.375 
 1979-02-01   8.1875 
 1979-02-02   2.8125 
 1979-02-03      1.5 
 1979-02-04        0 
 1979-02-05    0.625 
 1979-02-06   0.1875 
 1979-02-07        0 
 1979-02-08   0.1875 
 1979-02-09    0.125 
 1979-02-10        0 
 1979-02-11        0 
 1979-02-12        0 
 1979-02-13        0 
 1979-02-14        0 
 1979-02-15        0 
 1979-02-16        0 
 1979-02-17        0 
 1979-02-18        0 
 1979-02-19        0 
 1979-02-20        0 
 1979-02-21        0 
 1979-02-22    2.875 
 1979-02-23        0 
 1979-02-24   5.3125 
 1979-02-25    5.375 
 1979-02-26   14.625 
 1979-02-27    21.75 
 1979-02-28   1.0625 
 1979-03-01        0 
 1979-03-02   1.1875 
 1979-03-03        0 
 1979-03-04        0 
 1979-03-05    1.625 
 1979-03-06  13.4375 
 1979-03-07  11.3125 
 1979-03-08   22.375 
 1979-03-09   0.1875 
 1979-03-10   5.5625 
 1979-03-11   6.0625 
 1979-03-12     0.25 
 1979-03-13        0 
 1979-03-14   4.4375 
 1979-03-15      2.5 
 1979-03-16        0 
 1979-03-17        0 
 1979-03-18    0.125 
 1979-03-19        0 
 1979-03-20   0.1875 
 1979-03-21        0 
 1979-03-22        0 
 1979-03-23        0 
 1979-03-24        0 
 1979-03-25    24.25 
 1979-03-26  19.3125 
 1979-03-27   0.0625 
 1979-03-28        0 
 1979-03-29    0.375 
 1979-03-30   0.0625 
 1979-03-31   6.8125 
 1979-04-01    0.625 
 1979-04-02        0 
 1979-04-03   6.6875 
 1979-04-04        0 
 1979-04-05  11.0625 
 1979-04-06   4.6875 
 1979-04-07    5.625 
 1979-04-08        0 
 1979-04-09   0.4375 
 1979-04-10    14.75 
 1979-04-11   1.6875 
 1979-04-12        0 
 1979-04-13        0 
 1979-04-14        0 
 1979-04-15        0 
 1979-04-16   1.9375 
 1979-04-17   1.8125 
 1979-04-18   1.8125 
 1979-04-19   0.1875 
 1979-04-20        0 
 1979-04-21        0 
 1979-04-22   0.0625 
 1979-04-23   0.0625 
 1979-04-24        0 
 1979-04-25        0 
 1979-04-26        0 
 1979-04-27  13.5625 
 1979-04-28   35.375 
 1979-04-29  19.4375 
 1979-04-30        0 
 1979-05-01    1.625 
 1979-05-02   2.3125 
 1979-05-03        0 
 1979-05-04       10 
 1979-05-05    0.375 
 1979-05-06        0 
 1979-05-07        0 
 1979-05-08        0 
 1979-05-09        0 
 1979-05-10        0 
 1979-05-11        0 
 1979-05-12   0.1875 
 1979-05-13   0.3125 
 1979-05-14     4.75 
 1979-05-15    1.125 
 1979-05-16      4.5 
 1979-05-17        0 
 1979-05-18        0 
 1979-05-19        0 
 1979-05-20        0 
 1979-05-21   1.3125 
 1979-05-22   2.9375 
 1979-05-23        0 
 1979-05-24    5.875 
 1979-05-25  27.1875 
 1979-05-26   20.125 
 1979-05-27        5 
 1979-05-28      1.5 
 1979-05-29      7.5 
 1979-05-30   10.625 
 1979-05-31    11.25 
 1979-06-01   0.0625 
 1979-06-02        0 
 1979-06-03   2.8125 
 1979-06-04        0 
 1979-06-05   0.0625 
 1979-06-06        2 
 1979-06-07        0 
 1979-06-08        0 
 1979-06-09    1.625 
 1979-06-10        0 
 1979-06-11        0 
 1979-06-12  12.1875 
 1979-06-13    0.125 
 1979-06-14        0 
 1979-06-15        0 
 1979-06-16        0 
 1979-06-17     0.25 
 1979-06-18   0.1875 
 1979-06-19        0 
 1979-06-20        0 
 1979-06-21        0 
 1979-06-22   6.6875 
 1979-06-23  22.4375 
 1979-06-24    0.625 
 1979-06-25        0 
 1979-06-26        0 
 1979-06-27        0 
 1979-06-28    0.125 
 1979-06-29        0 
 1979-06-30        0 
 1979-07-01       11 
 1979-07-02    3.125 
 1979-07-03      0.5 
 1979-07-04        0 
 1979-07-05    0.125 
 1979-07-06        0 
 1979-07-07        0 
 1979-07-08        2 
 1979-07-09        0 
 1979-07-10        0 
 1979-07-11    1.125 
 1979-07-12   0.4375 
 1979-07-13        0 
 1979-07-14        0 
 1979-07-15        0 
 1979-07-16   0.3125 
 1979-07-17  15.3125 
 1979-07-18   0.0625 
 1979-07-19     0.25 
 1979-07-20        0 
 1979-07-21        0 
 1979-07-22        0 
 1979-07-23        0 
 1979-07-24        0 
 1979-07-25   0.0625 
 1979-07-26   0.8125 
 1979-07-27  19.4375 
 1979-07-28   0.4375 
 1979-07-29     0.25 
 1979-07-30        0 
 1979-07-31        0 
 1979-08-01    8.875 
 1979-08-02   0.0625 
 1979-08-03   2.0625 
 1979-08-04        0 
 1979-08-05   0.0625 
 1979-08-06   4.9375 
 1979-08-07        0 
 1979-08-08    2.375 
 1979-08-09   1.0625 
 1979-08-10   8.4375 
 1979-08-11   7.3125 
 1979-08-12   7.1875 
 1979-08-13       28 
 1979-08-14   6.1875 
 1979-08-15   6.3125 
 1979-08-16        0 
 1979-08-17        0 
 1979-08-18        0 
 1979-08-19   10.875 
 1979-08-20   11.875 
 1979-08-21    9.125 
 1979-08-22    0.625 
 1979-08-23        0 
 1979-08-24    0.375 
 1979-08-25      2.5 
 1979-08-26   0.3125 
 1979-08-27   8.1875 
 1979-08-28        2 
 1979-08-29    0.125 
 1979-08-30     4.75 
 1979-08-31   0.0625 
 1979-09-01        0 
 1979-09-02        0 
 1979-09-03   0.0625 
 1979-09-04        0 
 1979-09-05        0 
 1979-09-06    20.75 
 1979-09-07    23.75 
 1979-09-08   0.1875 
 1979-09-09        0 
 1979-09-10        0 
 1979-09-11    2.875 
 1979-09-12        0 
 1979-09-13        0 
 1979-09-14   0.1875 
 1979-09-15   13.375 
 1979-09-16        0 
 1979-09-17        0 
 1979-09-18        0 
 1979-09-19   5.0625 
 1979-09-20        0 
 1979-09-21        0 
 1979-09-22   1.4375 
 1979-09-23        0 
 1979-09-24        0 
 1979-09-25        0 
 1979-09-26        0 
 1979-09-27        0 
 1979-09-28        0 
 1979-09-29        0 
 1979-09-30        0 
 1979-10-01        0 
 1979-10-02   9.0625 
 1979-10-03   1.6875 
 1979-10-04       20 
 1979-10-05   0.5625 
 1979-10-06  16.6875 
 1979-10-07     8.25 
 1979-10-08  34.6875 
 1979-10-09   7.0625 
 1979-10-10   0.1875 
 1979-10-11        2 
 1979-10-12        0 
 1979-10-13    6.875 
 1979-10-14        0 
 1979-10-15   0.1875 
 1979-10-16   0.1875 
 1979-10-17        0 
 1979-10-18   0.0625 
 1979-10-19        0 
 1979-10-20    2.875 
 1979-10-21        0 
 1979-10-22        0 
 1979-10-23        0 
 1979-10-24    0.625 
 1979-10-25   1.1875 
 1979-10-26   1.8125 
 1979-10-27   1.8125 
 1979-10-28   0.0625 
 1979-10-29  16.3125 
 1979-10-30     1.75 
 1979-10-31        0 
 1979-11-01        0 
 1979-11-02        0 
 1979-11-03   58.875 
 1979-11-04    0.125 
 1979-11-05        0 
 1979-11-06        0 
 1979-11-07        0 
 1979-11-08        0 
 1979-11-09        0 
 1979-11-10       13 
 1979-11-11     0.25 
 1979-11-12   0.0625 
 1979-11-13        0 
 1979-11-14   1.6875 
 1979-11-15      2.5 
 1979-11-16    2.375 
 1979-11-17        0 
 1979-11-18        0 
 1979-11-19        0 
 1979-11-20     1.25 
 1979-11-21      9.5 
 1979-11-22    1.875 
 1979-11-23   0.9375 
 1979-11-24     1.25 
 1979-11-25   0.4375 
 1979-11-26     1.75 
 1979-11-27  12.0625 
 1979-11-28        0 
 1979-11-29        0 
 1979-11-30        0 
 1979-12-01        0 
 1979-12-02        0 
 1979-12-03        0 
 1979-12-04        0 
 1979-12-05   1.9375 
 1979-12-06   0.0625 
 1979-12-07      4.5 
 1979-12-08   0.3125 
 1979-12-09        0 
 1979-12-10    0.125 
 1979-12-11   2.4375 
 1979-12-12   0.0625 
 1979-12-13        0 
 1979-12-14   2.4375 
 1979-12-15        0 
 1979-12-16        0 
 1979-12-17   11.125 
 1979-12-18        0 
 1979-12-19        0 
 1979-12-20        0 
 1979-12-21        0 
 1979-12-22        0 
 1979-12-23   0.4375 
 1979-12-24        3 
 1979-12-25   25.375 
 1979-12-26   6.3125 
 1979-12-27   0.3125 
 1979-12-28        0 
 1979-12-29        0 
 1979-12-30        0 
 1979-12-31        0 
