#      date    value 
 1995-01-01        0 
 1995-01-02        0 
 1995-01-03        0 
 1995-01-04        1 
 1995-01-05   0.5625 
 1995-01-06   3.5625 
 1995-01-07        9 
 1995-01-08        0 
 1995-01-09        0 
 1995-01-10        0 
 1995-01-11        0 
 1995-01-12        0 
 1995-01-13    5.625 
 1995-01-14  13.8125 
 1995-01-15  10.1875 
 1995-01-16   0.3125 
 1995-01-17        0 
 1995-01-18        0 
 1995-01-19   1.0625 
 1995-01-20        0 
 1995-01-21        0 
 1995-01-22   0.6875 
 1995-01-23    0.375 
 1995-01-24    0.125 
 1995-01-25        0 
 1995-01-26        0 
 1995-01-27        0 
 1995-01-28     0.75 
 1995-01-29   4.9375 
 1995-01-30   3.9375 
 1995-01-31        0 
 1995-02-01        0 
 1995-02-02     0.25 
 1995-02-03     0.25 
 1995-02-04        1 
 1995-02-05        0 
 1995-02-06        0 
 1995-02-07        0 
 1995-02-08    0.125 
 1995-02-09   0.9375 
 1995-02-10     1.25 
 1995-02-11   0.5625 
 1995-02-12     1.25 
 1995-02-13   1.0625 
 1995-02-14      0.5 
 1995-02-15        0 
 1995-02-16        0 
 1995-02-17        0 
 1995-02-18        0 
 1995-02-19   0.4375 
 1995-02-20    6.875 
 1995-02-21        0 
 1995-02-22        0 
 1995-02-23    0.125 
 1995-02-24        0 
 1995-02-25        0 
 1995-02-26   0.0625 
 1995-02-27        0 
 1995-02-28    7.875 
 1995-03-01  10.1875 
 1995-03-02   3.6875 
 1995-03-03        0 
 1995-03-04        0 
 1995-03-05   0.0625 
 1995-03-06   0.0625 
 1995-03-07   3.4375 
 1995-03-08     2.25 
 1995-03-09   1.0625 
 1995-03-10        0 
 1995-03-11        0 
 1995-03-12        0 
 1995-03-13        0 
 1995-03-14        0 
 1995-03-15   0.1875 
 1995-03-16      8.5 
 1995-03-17   6.9375 
 1995-03-18   0.3125 
 1995-03-19      0.5 
 1995-03-20        0 
 1995-03-21        0 
 1995-03-22        0 
 1995-03-23        0 
 1995-03-24        0 
 1995-03-25        0 
 1995-03-26        0 
 1995-03-27    0.625 
 1995-03-28    4.375 
 1995-03-29   0.0625 
 1995-03-30      6.5 
 1995-03-31   0.6875 
 1995-04-01   9.1875 
 1995-04-02        0 
 1995-04-03    0.125 
 1995-04-04      0.5 
 1995-04-05  10.6875 
 1995-04-06      6.5 
 1995-04-07   0.4375 
 1995-04-08   0.3125 
 1995-04-09      0.5 
 1995-04-10    0.375 
 1995-04-11    0.125 
 1995-04-12   0.1875 
 1995-04-13        0 
 1995-04-14        0 
 1995-04-15        0 
 1995-04-16        0 
 1995-04-17        0 
 1995-04-18        0 
 1995-04-19      0.5 
 1995-04-20   0.8125 
 1995-04-21        0 
 1995-04-22      0.5 
 1995-04-23        0 
 1995-04-24   0.1875 
 1995-04-25   0.4375 
 1995-04-26   0.1875 
 1995-04-27   0.6875 
 1995-04-28   1.6875 
 1995-04-29        0 
 1995-04-30        0 
 1995-05-01        0 
 1995-05-02        0 
 1995-05-03   0.5625 
 1995-05-04      9.5 
 1995-05-05   0.3125 
 1995-05-06   0.1875 
 1995-05-07        0 
 1995-05-08        0 
 1995-05-09        0 
 1995-05-10   3.3125 
 1995-05-11    8.875 
 1995-05-12  17.0625 
 1995-05-13   0.0625 
 1995-05-14        0 
 1995-05-15        0 
 1995-05-16   0.0625 
 1995-05-17        0 
 1995-05-18    1.625 
 1995-05-19      1.5 
 1995-05-20   10.375 
 1995-05-21   0.1875 
 1995-05-22    0.375 
 1995-05-23   4.1875 
 1995-05-24    1.875 
 1995-05-25        0 
 1995-05-26        0 
 1995-05-27        0 
 1995-05-28        0 
 1995-05-29        0 
 1995-05-30        0 
 1995-05-31   0.0625 
 1995-06-01        0 
 1995-06-02    2.875 
 1995-06-03   2.8125 
 1995-06-04    5.125 
 1995-06-05    4.625 
 1995-06-06        0 
 1995-06-07        0 
 1995-06-08        0 
 1995-06-09        0 
 1995-06-10   0.8125 
 1995-06-11   6.6875 
 1995-06-12     3.25 
 1995-06-13    0.375 
 1995-06-14        0 
 1995-06-15   0.0625 
 1995-06-16    1.625 
 1995-06-17     0.75 
 1995-06-18   0.3125 
 1995-06-19   1.9375 
 1995-06-20    1.625 
 1995-06-21    6.875 
 1995-06-22     9.25 
 1995-06-23   39.375 
 1995-06-24   22.625 
 1995-06-25   25.125 
 1995-06-26     12.5 
 1995-06-27    7.875 
 1995-06-28   0.8125 
 1995-06-29   1.3125 
 1995-06-30   0.4375 
 1995-07-01     0.25 
 1995-07-02        0 
 1995-07-03        0 
 1995-07-04        0 
 1995-07-05        0 
 1995-07-06   0.0625 
 1995-07-07   1.4375 
 1995-07-08    27.25 
 1995-07-09  14.0625 
 1995-07-10   20.875 
 1995-07-11  17.0625 
 1995-07-12     8.75 
 1995-07-13     4.75 
 1995-07-14        0 
 1995-07-15        0 
 1995-07-16   0.5625 
 1995-07-17   6.6875 
 1995-07-18    2.625 
 1995-07-19    0.375 
 1995-07-20   5.3125 
 1995-07-21   9.9375 
 1995-07-22    4.625 
 1995-07-23   10.625 
 1995-07-24   11.875 
 1995-07-25     16.5 
 1995-07-26   2.0625 
 1995-07-27     4.75 
 1995-07-28    12.75 
 1995-07-29  10.3125 
 1995-07-30     2.75 
 1995-07-31    6.375 
 1995-08-01    5.125 
 1995-08-02       32 
 1995-08-03     1.25 
 1995-08-04   0.0625 
 1995-08-05        0 
 1995-08-06        0 
 1995-08-07        0 
 1995-08-08    2.125 
 1995-08-09    19.75 
 1995-08-10     0.75 
 1995-08-11   0.0625 
 1995-08-12   0.0625 
 1995-08-13   0.0625 
 1995-08-14        0 
