#      date    value 
 2001-01-01   0.8125 
 2001-01-02        0 
 2001-01-03   0.1875 
 2001-01-04    0.125 
 2001-01-05    0.875 
 2001-01-06   0.4375 
 2001-01-07   1.3125 
 2001-01-08   0.4375 
 2001-01-09   0.5625 
 2001-01-10    0.625 
 2001-01-11   0.1875 
 2001-01-12        0 
 2001-01-13        0 
 2001-01-14    4.625 
 2001-01-15   5.3125 
 2001-01-16     0.25 
 2001-01-17        0 
 2001-01-18   0.8125 
 2001-01-19      0.5 
 2001-01-20        0 
 2001-01-21    0.125 
 2001-01-22        0 
 2001-01-23   1.6875 
 2001-01-24   0.8125 
 2001-01-25        0 
 2001-01-26   3.3125 
 2001-01-27    0.375 
 2001-01-28    2.375 
 2001-01-29        0 
 2001-01-30   12.125 
 2001-01-31    0.875 
 2001-02-01    0.375 
 2001-02-02    0.625 
 2001-02-03        0 
 2001-02-04     0.75 
 2001-02-05     0.75 
 2001-02-06    1.375 
 2001-02-07   1.1875 
 2001-02-08      6.5 
 2001-02-09   4.0625 
 2001-02-10    0.875 
 2001-02-11        0 
 2001-02-12    1.125 
 2001-02-13        0 
 2001-02-14   0.1875 
 2001-02-15   0.6875 
 2001-02-16        0 
 2001-02-17        0 
 2001-02-18        0 
 2001-02-19        0 
 2001-02-20     0.25 
 2001-02-21   0.0625 
 2001-02-22   0.3125 
 2001-02-23     2.25 
 2001-02-24     2.75 
 2001-02-25   5.4375 
 2001-02-26    0.375 
 2001-02-27   0.1875 
 2001-02-28        0 
 2001-03-01    0.125 
 2001-03-02   0.0625 
 2001-03-03        0 
 2001-03-04        0 
 2001-03-05      0.5 
 2001-03-06   0.1875 
 2001-03-07   0.0625 
 2001-03-08    1.125 
 2001-03-09    1.125 
 2001-03-10   1.0625 
 2001-03-11   0.4375 
 2001-03-12   8.1875 
 2001-03-13   1.6875 
 2001-03-14   1.0625 
 2001-03-15        0 
 2001-03-16        0 
 2001-03-17        0 
 2001-03-18        0 
 2001-03-19        0 
 2001-03-20        0 
 2001-03-21   2.1875 
 2001-03-22        0 
 2001-03-23     0.75 
