#      date    value 
 1979-01-02   1.0625 
 1979-01-03        0 
 1979-01-04   0.1875 
 1979-01-05   6.1875 
 1979-01-06   0.9375 
 1979-01-07   6.4375 
 1979-01-08        0 
 1979-01-09        0 
 1979-01-10        0 
 1979-01-11        0 
 1979-01-12        0 
 1979-01-13    4.625 
 1979-01-14    7.875 
 1979-01-15        0 
 1979-01-16        0 
 1979-01-17        0 
 1979-01-18        0 
 1979-01-19    4.125 
 1979-01-20   2.0625 
 1979-01-21   8.9375 
 1979-01-22        0 
 1979-01-23        0 
 1979-01-24     21.5 
 1979-01-25   0.4375 
 1979-01-26        0 
 1979-01-27   5.9375 
 1979-01-28    3.875 
 1979-01-29        0 
 1979-01-30        0 
 1979-01-31    4.375 
 1979-02-01        0 
 1979-02-02        0 
 1979-02-03   3.4375 
 1979-02-04        0 
 1979-02-05        0 
 1979-02-06        0 
 1979-02-07        0 
 1979-02-08     1.25 
 1979-02-09    1.125 
 1979-02-10        0 
 1979-02-11        0 
 1979-02-12    0.125 
 1979-02-13        0 
 1979-02-14        0 
 1979-02-15    0.375 
 1979-02-16     0.75 
 1979-02-17   0.4375 
 1979-02-18    8.375 
 1979-02-19        1 
 1979-02-20        0 
 1979-02-21    5.625 
 1979-02-22     5.25 
 1979-02-23  14.3125 
 1979-02-24     0.25 
 1979-02-25  14.3125 
 1979-02-26   7.6875 
 1979-02-27        0 
 1979-02-28    0.625 
 1979-03-01   9.0625 
 1979-03-02        0 
 1979-03-03   5.3125 
 1979-03-04     12.5 
 1979-03-05        0 
 1979-03-06        0 
 1979-03-07     0.25 
 1979-03-08   0.0625 
 1979-03-09   0.0625 
 1979-03-10   0.1875 
 1979-03-11        0 
 1979-03-12        0 
 1979-03-13   0.0625 
 1979-03-14     0.25 
 1979-03-15   0.0625 
 1979-03-16        0 
 1979-03-17        0 
 1979-03-18        0 
 1979-03-19   6.1875 
 1979-03-20     0.75 
 1979-03-21        0 
 1979-03-22   3.6875 
 1979-03-23  12.1875 
 1979-03-24    5.375 
 1979-03-25        0 
 1979-03-26        0 
 1979-03-27        0 
 1979-03-28   5.4375 
 1979-03-29      1.5 
 1979-03-30    9.625 
 1979-03-31     5.75 
 1979-04-01   5.5625 
 1979-04-02   3.4375 
 1979-04-03        0 
 1979-04-04     8.25 
 1979-04-05   0.1875 
 1979-04-06        0 
 1979-04-07   0.5625 
 1979-04-08   1.9375 
 1979-04-09   19.375 
 1979-04-10        0 
 1979-04-11    20.25 
 1979-04-12  22.5625 
 1979-04-13        7 
 1979-04-14   0.0625 
 1979-04-15    0.125 
 1979-04-16        0 
 1979-04-17        0 
 1979-04-18        0 
 1979-04-19        0 
 1979-04-20        0 
 1979-04-21     0.25 
 1979-04-22   0.0625 
 1979-04-23    1.375 
 1979-04-24    1.375 
 1979-04-25    5.125 
 1979-04-26   0.1875 
 1979-04-27   1.8125 
 1979-04-28     3.75 
 1979-04-29   0.0625 
 1979-04-30    1.125 
 1979-05-01        0 
 1979-05-02    0.875 
 1979-05-03       20 
 1979-05-04   2.8125 
 1979-05-05        0 
 1979-05-06        0 
 1979-05-07        0 
 1979-05-08        0 
 1979-05-09        0 
 1979-05-10        0 
 1979-05-11   4.0625 
 1979-05-12   17.875 
 1979-05-13        0 
 1979-05-14        0 
 1979-05-15      0.5 
 1979-05-16        0 
 1979-05-17        0 
 1979-05-18        0 
 1979-05-19   0.0625 
 1979-05-20        0 
 1979-05-21   0.0625 
 1979-05-22        0 
 1979-05-23        2 
 1979-05-24    5.125 
 1979-05-25    5.125 
 1979-05-26   1.0625 
 1979-05-27   9.6875 
 1979-05-28        0 
 1979-05-29        0 
 1979-05-30   0.8125 
 1979-05-31     5.25 
 1979-06-01        0 
 1979-06-02        0 
 1979-06-03        0 
 1979-06-04        0 
 1979-06-05        0 
 1979-06-06    0.125 
 1979-06-07   11.875 
 1979-06-08  32.0625 
 1979-06-09     1.25 
 1979-06-10   1.9375 
 1979-06-11        0 
 1979-06-12   6.5625 
 1979-06-13     5.25 
 1979-06-14   0.0625 
 1979-06-15        0 
 1979-06-16        0 
 1979-06-17        0 
 1979-06-18        0 
 1979-06-19        0 
 1979-06-20   12.375 
 1979-06-21   3.0625 
 1979-06-22    0.375 
