#      date    value 
 2013-01-01        0 
 2013-01-02        0 
 2013-01-03   0.1875 
 2013-01-04    0.125 
 2013-01-05   0.1875 
 2013-01-06   0.1875 
 2013-01-07    0.125 
 2013-01-08        0 
 2013-01-09        0 
 2013-01-10        0 
 2013-01-11   0.6875 
 2013-01-12   0.1875 
 2013-01-13   0.5625 
 2013-01-14   0.4375 
 2013-01-15        0 
 2013-01-16        0 
 2013-01-17        0 
 2013-01-18        0 
 2013-01-19        0 
 2013-01-20        0 
 2013-01-21        0 
 2013-01-22        0 
 2013-01-23        0 
 2013-01-24        0 
 2013-01-25   0.5625 
 2013-01-26   0.0625 
 2013-01-27   1.6875 
 2013-01-28   0.9375 
 2013-01-29   2.0625 
 2013-01-30   3.4375 
 2013-01-31        7 
 2013-02-01      1.5 
 2013-02-02      1.5 
 2013-02-03        0 
 2013-02-04        0 
 2013-02-05        0 
 2013-02-06        0 
 2013-02-07   0.5625 
 2013-02-08        0 
 2013-02-09    0.125 
 2013-02-10   1.8125 
 2013-02-11   1.0625 
 2013-02-12   0.4375 
 2013-02-13     0.25 
 2013-02-14     2.75 
 2013-02-15   5.4375 
 2013-02-16        0 
 2013-02-17        0 
 2013-02-18   0.4375 
 2013-02-19        0 
 2013-02-20   0.0625 
 2013-02-21   3.9375 
 2013-02-22    0.375 
 2013-02-23   0.0625 
 2013-02-24  11.4375 
 2013-02-25    1.125 
 2013-02-26   0.9375 
 2013-02-27    0.875 
 2013-02-28   0.0625 
 2013-03-01     1.25 
 2013-03-02   0.1875 
 2013-03-03   0.1875 
 2013-03-04   7.3125 
 2013-03-05   0.5625 
 2013-03-06   0.4375 
 2013-03-07        0 
 2013-03-08        0 
 2013-03-09  11.0625 
 2013-03-10        1 
 2013-03-11   0.4375 
 2013-03-12   9.5625 
 2013-03-13    0.125 
 2013-03-14    0.125 
 2013-03-15        0 
 2013-03-16   0.0625 
 2013-03-17        3 
 2013-03-18    3.125 
 2013-03-19    0.625 
 2013-03-20     0.25 
 2013-03-21        2 
 2013-03-22     0.25 
 2013-03-23  13.9375 
 2013-03-24   2.0625 
 2013-03-25    0.875 
 2013-03-26   0.3125 
 2013-03-27   0.9375 
 2013-03-28   0.3125 
 2013-03-29      0.5 
 2013-03-30      0.5 
 2013-03-31   0.1875 
 2013-04-01   1.0625 
 2013-04-02   5.6875 
 2013-04-03    2.125 
 2013-04-04        0 
 2013-04-05    0.625 
 2013-04-06   1.9375 
 2013-04-07     3.75 
 2013-04-08   1.3125 
 2013-04-09   8.0625 
 2013-04-10   1.4375 
 2013-04-11     3.25 
 2013-04-12   1.0625 
 2013-04-13        0 
 2013-04-14   11.625 
 2013-04-15   18.375 
 2013-04-16       15 
 2013-04-17   6.6875 
 2013-04-18   3.0625 
 2013-04-19   0.0625 
 2013-04-20     2.75 
 2013-04-21    1.125 
 2013-04-22      7.5 
 2013-04-23       21 
 2013-04-24   0.5625 
 2013-04-25        0 
 2013-04-26        0 
 2013-04-27        0 
 2013-04-28        0 
 2013-04-29        0 
 2013-04-30    0.875 
 2013-05-01  25.1875 
 2013-05-02     4.75 
 2013-05-03        0 
 2013-05-04     0.25 
 2013-05-05   1.4375 
 2013-05-06    0.875 
 2013-05-07   0.9375 
 2013-05-08     7.75 
 2013-05-09  21.6875 
 2013-05-10   2.1875 
 2013-05-11     0.75 
 2013-05-12   0.0625 
 2013-05-13        0 
 2013-05-14        0 
 2013-05-15        0 
 2013-05-16    0.375 
 2013-05-17        0 
 2013-05-18        0 
 2013-05-19   0.5625 
 2013-05-20   1.0625 
 2013-05-21   0.5625 
 2013-05-22     1.75 
 2013-05-23     0.25 
 2013-05-24        0 
 2013-05-25   0.0625 
 2013-05-26        0 
 2013-05-27        0 
 2013-05-28   0.0625 
 2013-05-29   3.4375 
 2013-05-30   1.4375 
 2013-05-31   0.0625 
 2013-06-01        0 
 2013-06-02        0 
 2013-06-03        0 
 2013-06-04    0.375 
 2013-06-05     0.75 
 2013-06-06        0 
 2013-06-07        0 
 2013-06-08        0 
 2013-06-09        0 
 2013-06-10        0 
 2013-06-11        0 
 2013-06-12        0 
 2013-06-13        0 
 2013-06-14        0 
 2013-06-15        0 
 2013-06-16        0 
 2013-06-17    0.125 
 2013-06-18     0.25 
 2013-06-19        0 
 2013-06-20        0 
 2013-06-21        0 
 2013-06-22        0 
 2013-06-23        0 
 2013-06-24        0 
 2013-06-25        0 
 2013-06-26        0 
 2013-06-27        0 
 2013-06-28     0.75 
 2013-06-29  10.9375 
 2013-06-30    3.375 
 2013-07-01   3.3125 
 2013-07-02   2.1875 
 2013-07-03   0.5625 
 2013-07-04   3.1875 
 2013-07-05   0.9375 
 2013-07-06      2.5 
 2013-07-07   0.8125 
 2013-07-08        0 
 2013-07-09        0 
 2013-07-10        0 
 2013-07-11        0 
 2013-07-12    9.125 
 2013-07-13    5.375 
 2013-07-14    3.875 
 2013-07-15   11.375 
 2013-07-16   0.0625 
 2013-07-17        0 
 2013-07-18  13.4375 
 2013-07-19        1 
 2013-07-20    0.125 
 2013-07-21        0 
 2013-07-22        0 
 2013-07-23        0 
 2013-07-24     1.25 
 2013-07-25     6.25 
 2013-07-26   0.9375 
 2013-07-27   0.1875 
 2013-07-28   0.6875 
 2013-07-29    0.125 
 2013-07-30   0.0625 
 2013-07-31        0 
 2013-08-01        0 
 2013-08-02        0 
 2013-08-03      4.5 
 2013-08-04   2.6875 
 2013-08-05    6.125 
 2013-08-06     1.25 
 2013-08-07    0.375 
 2013-08-08   0.0625 
 2013-08-09   2.8125 
 2013-08-10   3.3125 
 2013-08-11   0.8125 
 2013-08-12     4.75 
 2013-08-13     3.25 
 2013-08-14   3.0625 
 2013-08-15        0 
 2013-08-16        0 
 2013-08-17        0 
 2013-08-18   0.0625 
 2013-08-19        0 
 2013-08-20        0 
 2013-08-21        0 
 2013-08-22   4.0625 
 2013-08-23     5.25 
 2013-08-24    1.625 
 2013-08-25   2.0625 
 2013-08-26      1.5 
 2013-08-27      2.5 
 2013-08-28    0.125 
 2013-08-29   1.9375 
 2013-08-30   3.6875 
 2013-08-31   0.8125 
