#      date    value 
 2007-01-01      0.5 
 2007-01-02        0 
 2007-01-03        0 
 2007-01-04        0 
 2007-01-05   0.1875 
 2007-01-06        0 
 2007-01-07        0 
 2007-01-08        0 
 2007-01-09        0 
 2007-01-10        0 
 2007-01-11        0 
 2007-01-12        0 
 2007-01-13     0.25 
 2007-01-14   1.3125 
 2007-01-15     0.75 
 2007-01-16        0 
 2007-01-17        0 
 2007-01-18        0 
 2007-01-19        0 
 2007-01-20        0 
 2007-01-21     1.75 
 2007-01-22    0.125 
 2007-01-23     0.25 
 2007-01-24        0 
 2007-01-25        0 
 2007-01-26        0 
 2007-01-27        0 
 2007-01-28        0 
 2007-01-29        0 
 2007-01-30        0 
 2007-01-31      0.5 
 2007-02-01        0 
 2007-02-02        0 
 2007-02-03        0 
 2007-02-04        0 
 2007-02-05        0 
 2007-02-06        0 
 2007-02-07        1 
 2007-02-08      0.5 
 2007-02-09      1.5 
 2007-02-10   0.1875 
 2007-02-11   0.0625 
 2007-02-12   1.8125 
 2007-02-13    1.875 
 2007-02-14        0 
 2007-02-15        0 
 2007-02-16        0 
 2007-02-17        0 
 2007-02-18        0 
 2007-02-19        0 
 2007-02-20   0.1875 
 2007-02-21        0 
 2007-02-22        0 
 2007-02-23        0 
 2007-02-24  10.6875 
 2007-02-25  11.8125 
 2007-02-26   0.9375 
 2007-02-27   0.4375 
 2007-02-28   1.0625 
 2007-03-01    5.125 
 2007-03-02    0.125 
 2007-03-03    0.125 
 2007-03-04        0 
 2007-03-05        0 
 2007-03-06        0 
 2007-03-07        0 
 2007-03-08        0 
 2007-03-09    0.375 
 2007-03-10        0 
 2007-03-11        0 
 2007-03-12        0 
 2007-03-13        0 
 2007-03-14        0 
 2007-03-15        0 
 2007-03-16        0 
 2007-03-17        0 
 2007-03-18        0 
 2007-03-19   0.0625 
 2007-03-20        0 
 2007-03-21    8.375 
 2007-03-22   2.8125 
 2007-03-23        0 
 2007-03-24    5.375 
 2007-03-25   0.0625 
 2007-03-26        0 
 2007-03-27   2.3125 
 2007-03-28   1.3125 
 2007-03-29      1.5 
 2007-03-30   8.9375 
 2007-03-31  30.6875 
 2007-04-01   2.0625 
 2007-04-02    1.625 
 2007-04-03   2.6875 
 2007-04-04        0 
 2007-04-05        0 
 2007-04-06        0 
 2007-04-07        0 
 2007-04-08        0 
 2007-04-09        0 
 2007-04-10      7.5 
 2007-04-11   5.4375 
 2007-04-12   0.0625 
 2007-04-13        0 
 2007-04-14        0 
 2007-04-15        0 
 2007-04-16        0 
 2007-04-17        0 
 2007-04-18        0 
 2007-04-19        0 
 2007-04-20        0 
 2007-04-21        0 
 2007-04-22   4.6875 
 2007-04-23        0 
 2007-04-24   57.625 
 2007-04-25       19 
 2007-04-26   0.0625 
 2007-04-27        0 
 2007-04-28        0 
 2007-04-29        0 
 2007-04-30        0 
 2007-05-01        0 
 2007-05-02        0 
 2007-05-03   0.1875 
 2007-05-04    3.875 
 2007-05-05    43.25 
 2007-05-06  39.1875 
 2007-05-07   8.8125 
 2007-05-08        0 
 2007-05-09        0 
 2007-05-10        0 
 2007-05-11        0 
 2007-05-12        0 
 2007-05-13        0 
 2007-05-14     0.25 
 2007-05-15  16.5625 
 2007-05-16        0 
 2007-05-17        0 
 2007-05-18        0 
 2007-05-19        0 
 2007-05-20        0 
 2007-05-21        0 
 2007-05-22    0.375 
 2007-05-23   2.0625 
 2007-05-24  27.4375 
 2007-05-25        0 
 2007-05-26   4.3125 
 2007-05-27    0.625 
 2007-05-28        1 
 2007-05-29    3.375 
 2007-05-30     0.75 
