#      date    value 
 2005-01-01        0 
 2005-01-02   1.0625 
 2005-01-03   0.1875 
 2005-01-04  11.3125 
 2005-01-05   6.8125 
 2005-01-06   8.4375 
 2005-01-07   0.6875 
 2005-01-08        0 
 2005-01-09   0.0625 
 2005-01-10        0 
 2005-01-11        0 
 2005-01-12        0 
 2005-01-13        0 
 2005-01-14   0.8125 
 2005-01-15   6.8125 
 2005-01-16        0 
 2005-01-17        0 
 2005-01-18        0 
 2005-01-19        0 
 2005-01-20        0 
 2005-01-21        0 
 2005-01-22    0.125 
 2005-01-23     0.25 
 2005-01-24        0 
 2005-01-25        0 
 2005-01-26        0 
 2005-01-27        0 
 2005-01-28        0 
 2005-01-29        0 
 2005-01-30        0 
 2005-01-31        0 
 2005-02-01        0 
 2005-02-02        0 
 2005-02-03        0 
 2005-02-04        0 
 2005-02-05        0 
 2005-02-06        0 
 2005-02-07        0 
 2005-02-08   0.1875 
 2005-02-09   0.1875 
 2005-02-10    0.375 
 2005-02-11   0.4375 
 2005-02-12        0 
 2005-02-13        0 
 2005-02-14   0.1875 
 2005-02-15        0 
 2005-02-16        0 
 2005-02-17        0 
 2005-02-18      0.5 
 2005-02-19   1.1875 
 2005-02-20        0 
 2005-02-21        0 
 2005-02-22        0 
 2005-02-23        0 
 2005-02-24        0 
 2005-02-25        0 
 2005-02-26        0 
 2005-02-27   1.3125 
 2005-02-28        0 
 2005-03-01    1.125 
 2005-03-02        0 
 2005-03-03        0 
 2005-03-04        0 
 2005-03-05        0 
 2005-03-06        0 
 2005-03-07        0 
 2005-03-08        0 
 2005-03-09        0 
 2005-03-10        0 
 2005-03-11        0 
 2005-03-12        0 
 2005-03-13        0 
 2005-03-14   0.9375 
 2005-03-15        0 
 2005-03-16   0.3125 
 2005-03-17   0.5625 
 2005-03-18        0 
 2005-03-19        0 
 2005-03-20        0 
 2005-03-21        0 
 2005-03-22        0 
 2005-03-23        0 
 2005-03-24        0 
 2005-03-25        0 
 2005-03-26        0 
 2005-03-27    0.875 
 2005-03-28     0.25 
 2005-03-29    1.875 
 2005-03-30     0.25 
 2005-03-31        0 
 2005-04-01        0 
 2005-04-02   0.0625 
 2005-04-03   0.3125 
 2005-04-04        0 
 2005-04-05        0 
 2005-04-06        0 
 2005-04-07        0 
 2005-04-08        0 
 2005-04-09        0 
 2005-04-10        0 
 2005-04-11        0 
 2005-04-12        0 
 2005-04-13        0 
 2005-04-14        0 
 2005-04-15        0 
 2005-04-16        0 
 2005-04-17     0.75 
 2005-04-18   3.1875 
 2005-04-19   1.9375 
 2005-04-20        0 
 2005-04-21        0 
 2005-04-22        0 
 2005-04-23        0 
 2005-04-24     2.75 
 2005-04-25        0 
 2005-04-26        0 
 2005-04-27        0 
 2005-04-28        0 
 2005-04-29        0 
 2005-04-30        0 
 2005-05-01        0 
 2005-05-02        0 
 2005-05-03   1.0625 
 2005-05-04   0.6875 
 2005-05-05    0.375 
 2005-05-06        0 
 2005-05-07        0 
 2005-05-08        0 
 2005-05-09    0.125 
 2005-05-10        0 
 2005-05-11        0 
 2005-05-12        0 
 2005-05-13    0.875 
 2005-05-14   0.0625 
 2005-05-15   0.9375 
 2005-05-16        3 
 2005-05-17    2.375 
 2005-05-18  20.5625 
 2005-05-19    0.125 
 2005-05-20    0.125 
 2005-05-21   0.4375 
 2005-05-22        0 
 2005-05-23   0.3125 
 2005-05-24   0.5625 
 2005-05-25        0 
 2005-05-26   0.8125 
 2005-05-27        0 
 2005-05-28      2.5 
 2005-05-29        0 
 2005-05-30    1.375 
 2005-05-31    2.625 
 2005-06-01   16.625 
 2005-06-02    1.125 
 2005-06-03   2.5625 
 2005-06-04        6 
 2005-06-05      2.5 
 2005-06-06    1.375 
 2005-06-07     0.25 
 2005-06-08        0 
 2005-06-09        0 
 2005-06-10    0.125 
 2005-06-11     0.25 
 2005-06-12    8.125 
 2005-06-13      5.5 
 2005-06-14     2.75 
 2005-06-15   0.0625 
 2005-06-16    0.125 
 2005-06-17      2.5 
 2005-06-18      0.5 
 2005-06-19    11.75 
 2005-06-20   8.9375 
 2005-06-21    0.875 
 2005-06-22   1.3125 
 2005-06-23    0.125 
 2005-06-24   0.0625 
 2005-06-25   0.9375 
 2005-06-26   1.5625 
 2005-06-27   0.1875 
 2005-06-28   0.0625 
 2005-06-29        0 
