#      date    value 
 2019-01-01   6.3125 
 2019-01-02     0.75 
 2019-01-03   0.6875 
 2019-01-04        0 
 2019-01-05        0 
 2019-01-06   0.5625 
 2019-01-07  12.5625 
 2019-01-08   2.4375 
 2019-01-09   0.9375 
 2019-01-10     0.25 
 2019-01-11        0 
 2019-01-12        0 
 2019-01-13        0 
 2019-01-14        0 
 2019-01-15    0.125 
 2019-01-16   1.0625 
 2019-01-17        0 
 2019-01-18        0 
 2019-01-19        0 
 2019-01-20        0 
 2019-01-21        0 
 2019-01-22     2.25 
 2019-01-23     8.25 
 2019-01-24     2.25 
 2019-01-25    1.375 
 2019-01-26        1 
 2019-01-27    1.375 
 2019-01-28   0.8125 
 2019-01-29   1.5625 
 2019-01-30     0.75 
 2019-01-31        0 
 2019-02-01        0 
 2019-02-02        0 
 2019-02-03    0.625 
 2019-02-04   8.1875 
 2019-02-05   0.0625 
 2019-02-06    4.125 
 2019-02-07  10.5625 
 2019-02-08    4.875 
 2019-02-09        0 
 2019-02-10    0.125 
 2019-02-11   0.1875 
 2019-02-12   3.1875 
 2019-02-13    3.125 
 2019-02-14   0.9375 
 2019-02-15   10.125 
 2019-02-16        0 
 2019-02-17        0 
 2019-02-18        0 
 2019-02-19        0 
 2019-02-20   2.1875 
 2019-02-21   2.1875 
 2019-02-22        0 
 2019-02-23    3.125 
 2019-02-24  14.3125 
 2019-02-25   0.9375 
 2019-02-26        0 
 2019-02-27    2.125 
 2019-02-28        0 
 2019-03-01        0 
 2019-03-02        3 
 2019-03-03     0.25 
 2019-03-04     0.25 
 2019-03-05    0.875 
 2019-03-06        0 
 2019-03-07        0 
 2019-03-08        0 
 2019-03-09        0 
 2019-03-10   5.9375 
 2019-03-11   0.1875 
 2019-03-12        0 
 2019-03-13   4.1875 
 2019-03-14   2.9375 
 2019-03-15   2.3125 
 2019-03-16   0.4375 
 2019-03-17        0 
 2019-03-18        0 
 2019-03-19        0 
 2019-03-20        1 
 2019-03-21   2.0625 
 2019-03-22        0 
 2019-03-23        0 
 2019-03-24        0 
 2019-03-25        0 
 2019-03-26        0 
 2019-03-27        0 
 2019-03-28   0.8125 
 2019-03-29        0 
 2019-03-30        0 
 2019-03-31        0 
 2019-04-01    0.125 
 2019-04-02   0.6875 
 2019-04-03   0.5625 
 2019-04-04        0 
 2019-04-05   1.1875 
 2019-04-06     1.25 
 2019-04-07   0.3125 
 2019-04-08        3 
 2019-04-09   5.6875 
 2019-04-10   0.1875 
 2019-04-11        7 
 2019-04-12  14.3125 
 2019-04-13        0 
 2019-04-14   0.1875 
 2019-04-15     0.25 
 2019-04-16        0 
 2019-04-17    0.875 
 2019-04-18  15.5625 
 2019-04-19    0.125 
 2019-04-20        0 
 2019-04-21   0.0625 
 2019-04-22        0 
 2019-04-23   17.375 
 2019-04-24        0 
 2019-04-25        1 
 2019-04-26    9.625 
 2019-04-27     0.25 
 2019-04-28        0 
 2019-04-29     1.25 
 2019-04-30    1.875 
 2019-05-01   12.375 
 2019-05-02   0.4375 
 2019-05-03        0 
 2019-05-04        0 
 2019-05-05        0 
 2019-05-06   5.5625 
 2019-05-07        0 
 2019-05-08    0.125 
 2019-05-09   23.125 
 2019-05-10   0.0625 
 2019-05-11        0 
 2019-05-12        0 
 2019-05-13        0 
 2019-05-14        0 
 2019-05-15     0.75 
 2019-05-16   1.0625 
 2019-05-17        0 
 2019-05-18   1.1875 
 2019-05-19  29.3125 
 2019-05-20    5.125 
 2019-05-21        0 
 2019-05-22   4.5625 
 2019-05-23    6.125 
 2019-05-24   0.1875 
 2019-05-25  12.8125 
 2019-05-26    0.125 
 2019-05-27    7.125 
 2019-05-28  11.8125 
 2019-05-29        0 
 2019-05-30        0 
 2019-05-31    0.125 
 2019-06-01    0.125 
 2019-06-02        0 
 2019-06-03        0 
 2019-06-04        0 
 2019-06-05   0.1875 
 2019-06-06        0 
 2019-06-07        0 
 2019-06-08        0 
 2019-06-09     5.75 
 2019-06-10  24.8125 
 2019-06-11        0 
 2019-06-12   4.9375 
 2019-06-13   7.9375 
 2019-06-14   8.1875 
 2019-06-15    5.625 
 2019-06-16        0 
 2019-06-17        0 
 2019-06-18   0.0625 
 2019-06-19   0.0625 
 2019-06-20        0 
 2019-06-21        0 
 2019-06-22        0 
 2019-06-23        0 
 2019-06-24  15.1875 
 2019-06-25  13.0625 
 2019-06-26   0.6875 
 2019-06-27        0 
 2019-06-28   2.1875 
 2019-06-29        0 
 2019-06-30        0 
 2019-07-01   4.4375 
 2019-07-02   10.625 
 2019-07-03        0 
 2019-07-04        0 
 2019-07-05        0 
 2019-07-06   0.0625 
 2019-07-07        0 
 2019-07-08        0 
 2019-07-09        0 
 2019-07-10   3.6875 
