#      date    value 
 2008-01-01        0 
 2008-01-02        0 
 2008-01-03        0 
 2008-01-04   0.1875 
 2008-01-05   1.0625 
 2008-01-06   2.1875 
 2008-01-07   2.6875 
 2008-01-08        0 
 2008-01-09   0.0625 
 2008-01-10   0.0625 
 2008-01-11    1.875 
 2008-01-12   0.4375 
 2008-01-13    0.375 
 2008-01-14    1.125 
 2008-01-15    0.125 
 2008-01-16        0 
 2008-01-17   2.3125 
 2008-01-18   0.8125 
 2008-01-19      0.5 
 2008-01-20     0.25 
 2008-01-21    0.375 
 2008-01-22      0.5 
 2008-01-23   0.1875 
 2008-01-24        0 
 2008-01-25        0 
 2008-01-26    0.375 
 2008-01-27        0 
 2008-01-28    1.125 
 2008-01-29   4.5625 
 2008-01-30   0.4375 
 2008-01-31        0 
 2008-02-01    0.375 
 2008-02-02      1.5 
 2008-02-03    3.625 
 2008-02-04      0.5 
 2008-02-05    2.125 
 2008-02-06      0.5 
 2008-02-07    0.125 
 2008-02-08        0 
 2008-02-09   0.3125 
 2008-02-10    0.125 
 2008-02-11        0 
 2008-02-12        0 
 2008-02-13   1.3125 
 2008-02-14    1.125 
 2008-02-15        0 
 2008-02-16      1.5 
 2008-02-17   1.0625 
 2008-02-18   1.0625 
 2008-02-19   0.1875 
 2008-02-20   0.0625 
 2008-02-21        0 
 2008-02-22     1.75 
 2008-02-23        0 
 2008-02-24        0 
 2008-02-25        0 
 2008-02-26   0.1875 
 2008-02-27   1.5625 
 2008-02-28   0.1875 
 2008-02-29   3.3125 
 2008-03-01   0.4375 
 2008-03-02     0.75 
 2008-03-03    1.375 
 2008-03-04    1.125 
 2008-03-05   0.8125 
 2008-03-06   0.0625 
 2008-03-07    0.125 
 2008-03-08        0 
 2008-03-09        0 
 2008-03-10        0 
 2008-03-11     0.25 
 2008-03-12     0.25 
 2008-03-13   6.0625 
 2008-03-14   0.0625 
 2008-03-15    0.125 
 2008-03-16        0 
 2008-03-17   3.1875 
 2008-03-18    6.875 
 2008-03-19   0.4375 
 2008-03-20    0.125 
 2008-03-21    0.125 
 2008-03-22        0 
 2008-03-23        1 
 2008-03-24        0 
 2008-03-25    9.625 
 2008-03-26    1.625 
 2008-03-27   3.1875 
 2008-03-28   1.3125 
 2008-03-29      0.5 
 2008-03-30   0.0625 
 2008-03-31   1.3125 
 2008-04-01   8.1875 
 2008-04-02        0 
 2008-04-03        0 
 2008-04-04        0 
 2008-04-05        3 
 2008-04-06    2.125 
 2008-04-07    7.625 
 2008-04-08        1 
 2008-04-09   3.3125 
 2008-04-10     0.25 
 2008-04-11  13.3125 
 2008-04-12    5.875 
 2008-04-13     0.75 
 2008-04-14    0.125 
 2008-04-15        0 
 2008-04-16        0 
 2008-04-17   0.1875 
 2008-04-18    20.25 
 2008-04-19     8.25 
 2008-04-20    0.375 
 2008-04-21        0 
 2008-04-22   5.1875 
 2008-04-23        0 
 2008-04-24   4.8125 
 2008-04-25   8.3125 
 2008-04-26   1.0625 
 2008-04-27   0.5625 
 2008-04-28        0 
 2008-04-29   0.3125 
 2008-04-30        0 
 2008-05-01    0.875 
 2008-05-02    15.75 
 2008-05-03   12.375 
 2008-05-04        1 
 2008-05-05    0.125 
 2008-05-06    0.625 
 2008-05-07     1.25 
 2008-05-08        0 
 2008-05-09        0 
 2008-05-10   0.0625 
 2008-05-11     6.25 
 2008-05-12        0 
 2008-05-13   0.9375 
 2008-05-14    0.625 
 2008-05-15   1.1875 
 2008-05-16     5.25 
 2008-05-17   3.6875 
 2008-05-18   1.5625 
 2008-05-19        0 
 2008-05-20        0 
 2008-05-21      0.5 
 2008-05-22   8.3125 
 2008-05-23     1.75 
 2008-05-24   0.1875 
 2008-05-25   3.0625 
 2008-05-26   9.3125 
 2008-05-27    0.125 
 2008-05-28   2.8125 
 2008-05-29    2.625 
 2008-05-30     17.5 
 2008-05-31   0.0625 
 2008-06-01        0 
 2008-06-02   0.6875 
 2008-06-03   0.3125 
 2008-06-04   0.9375 
 2008-06-05    5.375 
 2008-06-06  25.0625 
 2008-06-07    0.625 
 2008-06-08   8.0625 
 2008-06-09   3.8125 
 2008-06-10   0.8125 
 2008-06-11     8.25 
 2008-06-12   8.5625 
 2008-06-13        0 
 2008-06-14   0.1875 
