#      date    value 
 2001-01-01  26.0625 
 2001-01-02   0.0625 
 2001-01-03        0 
 2001-01-04        0 
 2001-01-05        0 
 2001-01-06        0 
 2001-01-07        0 
 2001-01-08        0 
 2001-01-09        0 
 2001-01-10        0 
 2001-01-11    0.125 
 2001-01-12        0 
 2001-01-13        0 
 2001-01-14        0 
 2001-01-15        0 
 2001-01-16    2.625 
 2001-01-17    1.375 
 2001-01-18        0 
 2001-01-19        0 
 2001-01-20        0 
 2001-01-21     1.75 
 2001-01-22   1.1875 
 2001-01-23        0 
 2001-01-24   8.6875 
 2001-01-25        1 
 2001-01-26   0.0625 
 2001-01-27   0.1875 
 2001-01-28        0 
 2001-01-29        0 
 2001-01-30        0 
 2001-01-31    0.125 
 2001-02-01        0 
 2001-02-02        0 
 2001-02-03     2.25 
 2001-02-04   5.6875 
 2001-02-05     1.75 
 2001-02-06   1.8125 
 2001-02-07   1.0625 
 2001-02-08   0.0625 
 2001-02-09    0.875 
 2001-02-10   0.3125 
 2001-02-11        0 
 2001-02-12   0.0625 
 2001-02-13        0 
 2001-02-14   29.875 
 2001-02-15        0 
 2001-02-16        0 
 2001-02-17        0 
 2001-02-18  16.1875 
 2001-02-19  63.9375 
 2001-02-20   20.375 
 2001-02-21   4.9375 
 2001-02-22        0 
 2001-02-23     0.75 
 2001-02-24   3.6875 
 2001-02-25        1 
 2001-02-26    2.875 
 2001-02-27   0.0625 
 2001-02-28   1.0625 
 2001-03-01     0.25 
 2001-03-02    0.125 
 2001-03-03        0 
 2001-03-04   0.0625 
 2001-03-05   0.0625 
 2001-03-06   0.0625 
 2001-03-07     0.25 
 2001-03-08        0 
 2001-03-09    0.125 
 2001-03-10        0 
 2001-03-11   0.0625 
 2001-03-12    0.625 
 2001-03-13    0.875 
 2001-03-14   0.5625 
 2001-03-15   1.4375 
 2001-03-16     1.25 
 2001-03-17        0 
 2001-03-18   58.875 
 2001-03-19     9.25 
 2001-03-20        0 
 2001-03-21    0.125 
 2001-03-22        0 
 2001-03-23     0.25 
 2001-03-24   0.8125 
 2001-03-25     0.25 
 2001-03-26   1.3125 
 2001-03-27   8.6875 
 2001-03-28        1 
 2001-03-29   0.9375 
 2001-03-30        0 
 2001-03-31        0 
 2001-04-01        0 
 2001-04-02   0.0625 
 2001-04-03   1.6875 
 2001-04-04    0.875 
 2001-04-05    1.875 
 2001-04-06   0.0625 
 2001-04-07        0 
 2001-04-08   0.1875 
 2001-04-09        0 
 2001-04-10   0.0625 
 2001-04-11     7.75 
 2001-04-12     0.25 
 2001-04-13   4.9375 
 2001-04-14     1.25 
 2001-04-15        0 
 2001-04-16        0 
 2001-04-17        0 
 2001-04-18    0.875 
 2001-04-19   0.0625 
 2001-04-20   0.5625 
 2001-04-21   0.5625 
 2001-04-22    0.125 
 2001-04-23        0 
 2001-04-24        0 
 2001-04-25        0 
 2001-04-26        0 
 2001-04-27        0 
 2001-04-28        0 
 2001-04-29        0 
 2001-04-30   32.125 
 2001-05-01     11.5 
 2001-05-02  10.6875 
 2001-05-03      0.5 
 2001-05-04        0 
 2001-05-05        0 
 2001-05-06        0 
 2001-05-07        0 
 2001-05-08        0 
 2001-05-09        0 
 2001-05-10        0 
 2001-05-11        0 
 2001-05-12   0.0625 
 2001-05-13        0 
 2001-05-14        0 
 2001-05-15        0 
 2001-05-16        0 
 2001-05-17        0 
 2001-05-18        0 
 2001-05-19        0 
 2001-05-20        0 
 2001-05-21        0 
 2001-05-22        0 
 2001-05-23        0 
 2001-05-24        0 
 2001-05-25        0 
 2001-05-26        0 
 2001-05-27        0 
 2001-05-28        0 
 2001-05-29        0 
 2001-05-30        0 
 2001-05-31        0 
 2001-06-01        0 
 2001-06-02        0 
 2001-06-03        0 
 2001-06-04        0 
 2001-06-05        0 
 2001-06-06   0.6875 
 2001-06-07        0 
 2001-06-08        0 
 2001-06-09        0 
 2001-06-10        0 
 2001-06-11        0 
 2001-06-12        0 
 2001-06-13        0 
 2001-06-14        0 
 2001-06-15        0 
 2001-06-16        0 
 2001-06-17        0 
 2001-06-18        0 
 2001-06-19        0 
 2001-06-20        0 
 2001-06-21        0 
 2001-06-22        0 
 2001-06-23    0.375 
 2001-06-24    1.375 
 2001-06-25    0.875 
 2001-06-26   0.0625 
 2001-06-27   16.625 
 2001-06-28        0 
 2001-06-29        0 
 2001-06-30        0 
 2001-07-01   0.6875 
 2001-07-02        0 
 2001-07-03        0 
 2001-07-04        0 
 2001-07-05        0 
 2001-07-06   0.0625 
 2001-07-07        0 
 2001-07-08        0 
 2001-07-09        0 
 2001-07-10        0 
 2001-07-11   0.3125 
 2001-07-12        0 
 2001-07-13        0 
 2001-07-14        0 
 2001-07-15        0 
 2001-07-16        0 
 2001-07-17        0 
 2001-07-18        0 
 2001-07-19        0 
 2001-07-20        0 
 2001-07-21        0 
 2001-07-22        0 
 2001-07-23        0 
 2001-07-24        0 
 2001-07-25        0 
 2001-07-26     0.25 
 2001-07-27        0 
 2001-07-28        0 
 2001-07-29        0 
 2001-07-30     0.25 
 2001-07-31      0.5 
 2001-08-01        0 
 2001-08-02        0 
 2001-08-03        0 
 2001-08-04        0 
 2001-08-05   0.1875 
 2001-08-06        0 
 2001-08-07    0.375 
 2001-08-08        0 
 2001-08-09        0 
 2001-08-10   1.3125 
 2001-08-11        0 
 2001-08-12        0 
 2001-08-13        0 
 2001-08-14        0 
 2001-08-15        0 
 2001-08-16        0 
 2001-08-17        0 
 2001-08-18        0 
 2001-08-19        0 
 2001-08-20        0 
 2001-08-21        0 
 2001-08-22        0 
 2001-08-23        0 
 2001-08-24        0 
 2001-08-25        0 
 2001-08-26    0.625 
 2001-08-27   0.8125 
 2001-08-28        0 
 2001-08-29        0 
 2001-08-30        0 
 2001-08-31        0 
 2001-09-01        0 
 2001-09-02        0 
 2001-09-03        0 
 2001-09-04    0.125 
 2001-09-05        0 
 2001-09-06        0 
 2001-09-07        0 
 2001-09-08        0 
 2001-09-09        0 
 2001-09-10        0 
 2001-09-11      0.5 
 2001-09-12    2.625 
 2001-09-13      4.5 
 2001-09-14   0.6875 
 2001-09-15    0.125 
 2001-09-16        0 
 2001-09-17        0 
 2001-09-18        0 
 2001-09-19        0 
 2001-09-20        0 
 2001-09-21        0 
 2001-09-22    0.125 
 2001-09-23        0 
 2001-09-24        0 
 2001-09-25        0 
 2001-09-26        0 
 2001-09-27   5.8125 
 2001-09-28        0 
 2001-09-29        0 
 2001-09-30        0 
 2001-10-01        0 
 2001-10-02        0 
 2001-10-03        0 
 2001-10-04        0 
 2001-10-05        0 
 2001-10-06     0.25 
 2001-10-07   2.8125 
