#      date    value 
 1992-01-01        0 
 1992-01-02        1 
 1992-01-03   4.4375 
 1992-01-04    6.125 
 1992-01-05  10.9375 
 1992-01-06   1.3125 
 1992-01-07     2.75 
 1992-01-08   2.5625 
 1992-01-09   3.1875 
 1992-01-10      0.5 
 1992-01-11  10.1875 
 1992-01-12   0.0625 
 1992-01-13     0.25 
 1992-01-14        0 
 1992-01-15        1 
 1992-01-16   9.1875 
 1992-01-17    9.375 
 1992-01-18   7.6875 
 1992-01-19    5.625 
 1992-01-20   5.9375 
 1992-01-21   0.4375 
 1992-01-22    4.625 
 1992-01-23     7.75 
 1992-01-24    2.125 
 1992-01-25     16.5 
 1992-01-26     5.25 
 1992-01-27        0 
 1992-01-28   0.1875 
 1992-01-29   0.0625 
 1992-01-30   0.3125 
 1992-01-31    6.375 
 1992-02-01   1.4375 
 1992-02-02   3.6875 
 1992-02-03  14.8125 
 1992-02-04      1.5 
 1992-02-05    5.125 
 1992-02-06    0.125 
 1992-02-07   1.5625 
 1992-02-08     0.25 
 1992-02-09        0 
 1992-02-10   0.0625 
 1992-02-11   0.1875 
 1992-02-12        0 
 1992-02-13   0.0625 
 1992-02-14        0 
 1992-02-15   0.1875 
 1992-02-16   3.6875 
 1992-02-17   9.0625 
 1992-02-18   2.5625 
 1992-02-19     0.75 
 1992-02-20    0.125 
 1992-02-21     1.75 
 1992-02-22        0 
 1992-02-23        0 
 1992-02-24    1.375 
 1992-02-25    4.125 
 1992-02-26    0.125 
 1992-02-27  10.1875 
 1992-02-28   7.0625 
 1992-02-29   11.375 
 1992-03-01   3.4375 
 1992-03-02   0.1875 
 1992-03-03       10 
 1992-03-04     1.25 
 1992-03-05        1 
 1992-03-06     0.25 
 1992-03-07   0.3125 
 1992-03-08   0.3125 
 1992-03-09    1.125 
 1992-03-10   1.4375 
 1992-03-11   7.8125 
 1992-03-12   4.9375 
 1992-03-13     0.75 
 1992-03-14   1.3125 
 1992-03-15     0.75 
 1992-03-16    7.125 
 1992-03-17       16 
 1992-03-18     5.25 
 1992-03-19   4.8125 
 1992-03-20  12.4375 
 1992-03-21   6.3125 
 1992-03-22    18.25 
 1992-03-23       10 
 1992-03-24   7.6875 
 1992-03-25   5.9375 
 1992-03-26   1.5625 
 1992-03-27   0.3125 
 1992-03-28   1.8125 
 1992-03-29   12.375 
 1992-03-30   4.4375 
 1992-03-31      3.5 
 1992-04-01   2.5625 
 1992-04-02   2.5625 
 1992-04-03   7.4375 
 1992-04-04        0 
 1992-04-05        0 
 1992-04-06        0 
 1992-04-07        0 
 1992-04-08        0 
 1992-04-09        0 
 1992-04-10   0.5625 
 1992-04-11   0.1875 
 1992-04-12        0 
 1992-04-13        0 
 1992-04-14        0 
 1992-04-15        0 
 1992-04-16        0 
 1992-04-17        0 
 1992-04-18        0 
 1992-04-19        0 
 1992-04-20        0 
 1992-04-21        0 
 1992-04-22        0 
 1992-04-23        0 
 1992-04-24        0 
 1992-04-25        0 
 1992-04-26   0.0625 
 1992-04-27    0.125 
 1992-04-28      1.5 
 1992-04-29   0.9375 
 1992-04-30        0 
 1992-05-01        0 
 1992-05-02        0 
 1992-05-03        0 
 1992-05-04        0 
 1992-05-05        0 
 1992-05-06        0 
 1992-05-07        0 
 1992-05-08        0 
 1992-05-09        0 
 1992-05-10        0 
 1992-05-11     0.25 
 1992-05-12    0.125 
 1992-05-13        0 
 1992-05-14        0 
 1992-05-15        0 
 1992-05-16        0 
 1992-05-17        0 
 1992-05-18        0 
 1992-05-19        0 
 1992-05-20        0 
 1992-05-21        0 
 1992-05-22        0 
 1992-05-23        0 
 1992-05-24        0 
 1992-05-25        0 
 1992-05-26        0 
 1992-05-27        0 
 1992-05-28        0 
 1992-05-29        0 
 1992-05-30        0 
 1992-05-31        0 
 1992-06-01        0 
 1992-06-02        0 
 1992-06-03        0 
 1992-06-04        0 
 1992-06-05        0 
 1992-06-06        0 
 1992-06-07        0 
 1992-06-08        0 
 1992-06-09        0 
 1992-06-10        0 
 1992-06-11        0 
 1992-06-12        0 
 1992-06-13        0 
 1992-06-14        0 
 1992-06-15        0 
 1992-06-16        0 
 1992-06-17        0 
 1992-06-18        0 
 1992-06-19        0 
 1992-06-20        0 
 1992-06-21        0 
 1992-06-22        0 
 1992-06-23        0 
 1992-06-24        0 
 1992-06-25        0 
 1992-06-26        0 
 1992-06-27        0 
 1992-06-28        0 
 1992-06-29        0 
 1992-06-30        0 
 1992-07-01        0 
 1992-07-02        0 
 1992-07-03        0 
 1992-07-04        0 
 1992-07-05        0 
 1992-07-06        0 
 1992-07-07        0 
 1992-07-08        0 
 1992-07-09        0 
 1992-07-10        0 
 1992-07-11        0 
 1992-07-12        0 
 1992-07-13        0 
 1992-07-14        0 
 1992-07-15        0 
 1992-07-16        0 
 1992-07-17        0 
 1992-07-18        0 
 1992-07-19        0 
 1992-07-20        0 
 1992-07-21        0 
 1992-07-22        0 
 1992-07-23        0 
 1992-07-24        0 
 1992-07-25        0 
 1992-07-26        0 
 1992-07-27        0 
 1992-07-28        0 
 1992-07-29        0 
 1992-07-30        0 
 1992-07-31        0 
 1992-08-01        0 
 1992-08-02        0 
 1992-08-03        0 
 1992-08-04        0 
 1992-08-05        0 
 1992-08-06        0 
 1992-08-07        0 
 1992-08-08        0 
 1992-08-09        0 
 1992-08-10        0 
 1992-08-11        0 
 1992-08-12        0 
 1992-08-13        0 
 1992-08-14        0 
 1992-08-15        0 
 1992-08-16        0 
 1992-08-17        0 
 1992-08-18        0 
 1992-08-19        0 
 1992-08-20        0 
 1992-08-21        0 
 1992-08-22        0 
 1992-08-23        0 
 1992-08-24        0 
 1992-08-25        0 
 1992-08-26        0 
 1992-08-27        0 
 1992-08-28        0 
 1992-08-29        0 
 1992-08-30        0 
 1992-08-31        0 
 1992-09-01        0 
 1992-09-02        0 
 1992-09-03        0 
 1992-09-04        0 
 1992-09-05        0 
 1992-09-06        0 
 1992-09-07        0 
 1992-09-08        0 
 1992-09-09        0 
 1992-09-10        0 
 1992-09-11        0 
 1992-09-12        0 
 1992-09-13        0 
 1992-09-14        0 
 1992-09-15        0 
 1992-09-16        0 
 1992-09-17        0 
 1992-09-18        0 
 1992-09-19        0 
 1992-09-20        0 
 1992-09-21        0 
 1992-09-22        0 
 1992-09-23        0 
 1992-09-24        0 
 1992-09-25        0 
 1992-09-26        0 
 1992-09-27        0 
 1992-09-28        0 
 1992-09-29        0 
 1992-09-30        0 
 1992-10-01        0 
 1992-10-02        0 
 1992-10-03        0 
 1992-10-04        0 
 1992-10-05        0 
 1992-10-06        0 
 1992-10-07        0 
 1992-10-08        0 
 1992-10-09        0 
 1992-10-10        0 
 1992-10-11        0 
 1992-10-12        0 
 1992-10-13        0 
 1992-10-14   0.1875 
 1992-10-15        0 
 1992-10-16        0 
 1992-10-17      0.5 
 1992-10-18    1.125 
 1992-10-19   2.3125 
 1992-10-20   0.0625 
 1992-10-21    0.625 
 1992-10-22   0.8125 
 1992-10-23   0.5625 
 1992-10-24   5.9375 
 1992-10-25     4.25 
 1992-10-26    6.125 
 1992-10-27    9.875 
 1992-10-28   5.8125 
 1992-10-29    4.125 
 1992-10-30    7.875 
 1992-10-31    1.125 
 1992-11-01   4.3125 
 1992-11-02    1.125 
 1992-11-03   3.6875 
 1992-11-04    3.375 
 1992-11-05        0 
 1992-11-06        0 
 1992-11-07   1.0625 
 1992-11-08   1.8125 
 1992-11-09        3 
 1992-11-10    0.625 
 1992-11-11    2.125 
 1992-11-12    0.125 
 1992-11-13      8.5 
 1992-11-14   0.6875 
 1992-11-15   12.125 
 1992-11-16        3 
 1992-11-17   9.8125 
 1992-11-18        4 
 1992-11-19   1.8125 
 1992-11-20   0.0625 
 1992-11-21   1.8125 
 1992-11-22    7.375 
 1992-11-23    5.125 
 1992-11-24  20.5625 
 1992-11-25   2.6875 
 1992-11-26      2.5 
 1992-11-27        2 
 1992-11-28        0 
 1992-11-29        0 
 1992-11-30        0 
 1992-12-01        0 
 1992-12-02        0 
 1992-12-03        0 
 1992-12-04        0 
 1992-12-05   3.9375 
 1992-12-06     1.25 
 1992-12-07        7 
 1992-12-08   10.625 
 1992-12-09   9.3125 
 1992-12-10      8.5 
 1992-12-11    0.875 
 1992-12-12   11.625 
 1992-12-13   0.6875 
 1992-12-14        0 
 1992-12-15        0 
 1992-12-16   7.6875 
 1992-12-17   5.0625 
 1992-12-18  12.8125 
 1992-12-19   0.9375 
 1992-12-20       22 
 1992-12-21   21.875 
 1992-12-22   13.375 
 1992-12-23  13.6875 
 1992-12-24    4.625 
 1992-12-25    4.125 
 1992-12-26    1.375 
 1992-12-27   2.0625 
 1992-12-28   6.8125 
 1992-12-29    7.125 
 1992-12-30    0.625 
 1992-12-31   2.4375 
